addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
81,Huffman Lane,,,Fairfield,VA,24435,37.88756067,-79.2993568,,,
722,Sterrett Road,,,Fairfield,VA,24435,37.88759495,-79.30061375,,,
105,Huffman Lane,,,Fairfield,VA,24435,37.88764435,-79.29829285,,,
10,Mission Lane,,,Fairfield,VA,24435,37.88765043,-79.26522359,,,
194,Jonestown Road,,,Fairfield,VA,24435,37.88765299,-79.26268666,,,
91,Huffman Lane,,,Fairfield,VA,24435,37.88768143,-79.2988368,,,
176,Huffman Lane,,,Fairfield,VA,24435,37.88772856,-79.29552707,,,
12,Spring Ridge Lane,,,Fairfield,VA,24435,37.88781261,-79.26922835,,,
736,Sterrett Road,,,Fairfield,VA,24435,37.88794091,-79.30028022,,,
1690,Decatur Road,,,Fairfield,VA,24435,37.88799445,-79.3545618,,,
30,October Lane,,,Fairfield,VA,24435,37.88801961,-79.27267025,,,
278,Sterrett Road,,,Fairfield,VA,24435,37.88804039,-79.2894296,,,
256,Cupps Hill,,,Fairfield,VA,24435,37.88806269,-79.22807645,,,
304,Jonestown Road,,,Fairfield,VA,24435,37.88806415,-79.25872194,,,
8,Spring Ridge Lane,,,Fairfield,VA,24435,37.88807951,-79.26890476,,,
178,Huffman Lane,,,Fairfield,VA,24435,37.88808043,-79.29501108,,,
29,Ridge Road,,,Fairfield,VA,24435,37.88808509,-79.287525,,,
113,Huffman Lane,,,Fairfield,VA,24435,37.88808842,-79.29756368,,,
155,Jonestown Road,,,Fairfield,VA,24435,37.88811879,-79.26395092,,,
120,Snowbird Lane,,,Fairfield,VA,24435,37.8882688,-79.308122,,,
57,Mission Lane,,,Fairfield,VA,24435,37.88829772,-79.26479758,,,
6218,North Lee Highway,,,Fairfield,VA,24435,37.88838151,-79.26783022,,,
11,Mission Lane,,,Fairfield,VA,24435,37.88838205,-79.26658964,,,
756,Sterrett Road,,,Fairfield,VA,24435,37.88838691,-79.3000432,,,
191,Jonestown Road,,,Fairfield,VA,24435,37.8883957,-79.26285512,,,
173,Huffman Lane,,,Fairfield,VA,24435,37.88845299,-79.29605191,,,
52,Mount Pleasant Lane,,,Fairfield,VA,24435,37.88849697,-79.28520441,,,
375,Jonestown Road,,,Fairfield,VA,24435,37.88856162,-79.25663297,,,
373,Jonestown Road,,,Fairfield,VA,24435,37.88860059,-79.25666145,,,
48,Mount Pleasant Lane,,,Fairfield,VA,24435,37.88860307,-79.2851784,,,
764,Sterrett Road,,,Fairfield,VA,24435,37.8886301,-79.29948366,,,
371,Jonestown Road,,,Fairfield,VA,24435,37.88864186,-79.25668995,,,
50,October Lane,,,Fairfield,VA,24435,37.88869067,-79.27313774,,,
44,Mount Pleasant Lane,,,Fairfield,VA,24435,37.88871611,-79.28514762,,,
57,Gusty Lane,,,Fairfield,VA,24435,37.88873809,-79.302503,,,
5160,Borden Grant Trail,,,Fairfield,VA,24435,37.88875751,-79.23936594,,,
42,Mount Pleasant Lane,,,Fairfield,VA,24435,37.88881023,-79.28507597,,,
75,October Lane,,,Fairfield,VA,24435,37.88887396,-79.27398776,,,
38,Mount Pleasant Lane,,,Fairfield,VA,24435,37.88891721,-79.28503157,,,
192,Huffman Lane,,,Fairfield,VA,24435,37.88898966,-79.2947015,,,
34,Mount Pleasant Lane,,,Fairfield,VA,24435,37.8890028,-79.28497339,,,
790,Sterrett Road,,,Fairfield,VA,24435,37.88902186,-79.29912468,,,
7,Swope Lane,,,Fairfield,VA,24435,37.88902522,-79.30055542,,,
5270,Borden Grant Trail,,,Fairfield,VA,24435,37.88904768,-79.23638872,,,
32,Mount Pleasant Lane,,,Fairfield,VA,24435,37.88908695,-79.28490066,,,
1770,Decatur Road,,,Fairfield,VA,24435,37.88913542,-79.35730127,,,
28,Mount Pleasant Lane,,,Fairfield,VA,24435,37.88918487,-79.28483389,,,
211,Swope Lane,,,Fairfield,VA,24435,37.88922189,-79.31265346,,,
24,Mount Pleasant Lane,,,Fairfield,VA,24435,37.88927823,-79.28476126,,,
22,Mount Pleasant Lane,,,Fairfield,VA,24435,37.88936342,-79.28464593,,,
1905,Decatur Road,,,Fairfield,VA,24435,37.88945418,-79.35984443,,,
796,Sterrett Road,,,Fairfield,VA,24435,37.88947883,-79.29904813,,,
6380,North Lee Highway,,,Fairfield,VA,24435,37.88959396,-79.26297972,,,
810,Sterrett Road,,,Fairfield,VA,24435,37.88960263,-79.29854502,,,
203,Huffman Lane,,,Fairfield,VA,24435,37.88965235,-79.29470818,,,
23,Gusty Lane,,,Fairfield,VA,24435,37.88966333,-79.30654987,,,
6310,North Lee Highway,,,Fairfield,VA,24435,37.88969638,-79.26505004,,,
216,Huffman Lane,,,Fairfield,VA,24435,37.88987745,-79.29382701,,,
42,Grapevine Trail,,,Fairfield,VA,24435,37.89003894,-79.23367959,,,
158,Ridge Road,,,Fairfield,VA,24435,37.89006469,-79.28327848,,,
805,Sterrett Road,,,Fairfield,VA,24435,37.8900859,-79.29953072,,,
6330,North Lee Highway,,,Fairfield,VA,24435,37.89013002,-79.26447055,,,
