addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
237,Jennifer Drive,,,Fairfield,VA,24435,37.90934658,-79.28307179,,,
165,Clear Fork Drive,,,Fairfield,VA,24435,37.90986504,-79.31709361,,,
230,Jennifer Drive,,,Fairfield,VA,24435,37.91004039,-79.2807442,,,
255,Jennifer Drive,,,Fairfield,VA,24435,37.91013969,-79.28263683,,,
38,Percy Lane,,,Fairfield,VA,24435,37.91020863,-79.27731827,,,
66,Percy Lane,,,Fairfield,VA,24435,37.91035432,-79.27851725,,,
70,Percy Lane,,,Fairfield,VA,24435,37.91045045,-79.2790657,,,
290,Jennifer Drive,,,Fairfield,VA,24435,37.91102645,-79.28028929,,,
305,Jennifer Drive,,,Fairfield,VA,24435,37.912025,-79.28280966,,,
306,Jennifer Drive,,,Fairfield,VA,24435,37.91258283,-79.28188298,,,
2110,Brownsburg Turnpike,,,Fairfield,VA,24435,37.91273274,-79.32148046,,,
315,Jennifer Drive,,,Fairfield,VA,24435,37.91373461,-79.28334058,,,
84,West Airslie Lane,,,Fairfield,VA,24435,37.91708523,-79.31479844,,,
52,West Airslie Lane,,,Fairfield,VA,24435,37.91723194,-79.31602269,,,
89,West Airslie Lane,,,Fairfield,VA,24435,37.91749973,-79.31434853,,,
2315,Brownsburg Turnpike,,,Fairfield,VA,24435,37.91783079,-79.31873857,,,
2255,Brownsburg Turnpike,,,Fairfield,VA,24435,37.9178661,-79.3213213,,,
30,Shady Creek Lane,,,Fairfield,VA,24435,37.91954891,-79.31766079,,,
80,Shady Creek Lane,,,Fairfield,VA,24435,37.92103796,-79.317199,,,
2609,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92557063,-79.32120408,,,
2610,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92564329,-79.32079596,,,
2617,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92580022,-79.3209692,,,
2613,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92603494,-79.32143788,,,
39,Still Alley,,,Fairfield,VA,24435,37.9263984,-79.31881579,,,
2640,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92642815,-79.32029389,,,
37,Still Alley,,,Fairfield,VA,24435,37.92647994,-79.31901242,,,
2650,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92664779,-79.32016548,,,
2651,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92678199,-79.32051774,,,
2664,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92712241,-79.31990517,,,
2671,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92725974,-79.32013827,,,
2682,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92745871,-79.31966756,,,
2685,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92768565,-79.31992878,,,
2690,Brownsburg Turnpike,,,Fairfield,VA,24435,37.9277731,-79.3194898,,,
2693,Brownsburg Turnpike,,,Fairfield,VA,24435,37.92787994,-79.31980397,,,
261,Virginia Manor Lane,,,Glasgow,VA,24555,37.61838276,-79.48858682,,,
310,Virginia Manor Lane,,,Glasgow,VA,24555,37.61858688,-79.48670285,,,
297,Virginia Manor Lane,,,Glasgow,VA,24555,37.61863819,-79.48741397,,,
203,Virginia Manor Lane,,,Glasgow,VA,24555,37.61869351,-79.4888361,,,
175,R J Corman Drive,,,Glasgow,VA,24555,37.62386904,-79.47124514,,,
1790,Wert Faulkner Highway,,,Glasgow,VA,24555,37.62410033,-79.48773529,,,
55,Back Water Lane,,,Glasgow,VA,24555,37.62418098,-79.48333187,,,
1798,Wert Faulkner Highway,,,Glasgow,VA,24555,37.62420631,-79.48745044,,,
54,Argyle Street,,,Glasgow,VA,24555,37.62432649,-79.48540692,,,
58,Argyle Street,,,Glasgow,VA,24555,37.62440755,-79.48572933,,,
34,Argyle Street,,,Glasgow,VA,24555,37.62440952,-79.48473497,,,
24,Argyle Street,,,Glasgow,VA,24555,37.62451768,-79.48436088,,,
25,Back Water Lane,,,Glasgow,VA,24555,37.62467153,-79.48331638,,,
14,Truckers Circle,,,Glasgow,VA,24555,37.62477971,-79.48310492,,,
1967,Wert Faulkner Highway,,,Glasgow,VA,24555,37.62482008,-79.48077775,,,
1,Jarvis Trail,,,Glasgow,VA,24555,37.62485648,-79.44516396,,,
