addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
800,Fitzlee Street,,106,Glasgow,VA,24555,37.63340594,-79.44929192,,,
800,Fitzlee Street,,111,Glasgow,VA,24555,37.63341025,-79.44942518,,,
800,Fitzlee Street,,107,Glasgow,VA,24555,37.63344623,-79.44924514,,,
800,Fitzlee Street,,108,Glasgow,VA,24555,37.63346588,-79.44928399,,,
800,Fitzlee Street,,110,Glasgow,VA,24555,37.63346676,-79.44936605,,,
924,McCulloch Street,,,Glasgow,VA,24555,37.63347023,-79.45261383,,,
717,Fitzlee Street,,,Glasgow,VA,24555,37.63347475,-79.44762286,,,
637,Gordon Street,,,Glasgow,VA,24555,37.63347595,-79.44600415,,,
800,Fitzlee Street,,109,Glasgow,VA,24555,37.63348872,-79.44930841,,,
726,Fitzlee Street,,,Glasgow,VA,24555,37.6335097,-79.44837848,,,
920,McCulloch Street,,,Glasgow,VA,24555,37.63352307,-79.45239749,,,
1002,Blue Ridge Road,,,Glasgow,VA,24555,37.63363829,-79.44989912,,,
711,Fitzlee Street,,,Glasgow,VA,24555,37.6336593,-79.44741386,,,
912,McCulloch Street,,,Glasgow,VA,24555,37.63368886,-79.4521133,,,
1015,Blue Ridge Road,,,Glasgow,VA,24555,37.63370231,-79.45083437,,,
733,Anderson Street,,,Glasgow,VA,24555,37.63370844,-79.44909033,,,
716,Fitzlee Street,,,Glasgow,VA,24555,37.63381277,-79.44803068,,,
705,Fitzlee Street,,,Glasgow,VA,24555,37.63382382,-79.44724809,,,
906,McCulloch Street,,,Glasgow,VA,24555,37.63385784,-79.45164242,,,
761,Anderson Street,,,Glasgow,VA,24555,37.63392167,-79.44961751,,,
723,Anderson Street,,,Glasgow,VA,24555,37.63393421,-79.44864153,,,
701,Fitzlee Street,,,Glasgow,VA,24555,37.63396873,-79.44710701,,,
725,Anderson Street,,,Glasgow,VA,24555,37.63400692,-79.44885978,,,
904,McCulloch Street,,,Glasgow,VA,24555,37.6340537,-79.45109107,,,
1036,Shenandoah Road,,,Glasgow,VA,24555,37.63407229,-79.45490401,,,
721,Anderson Street,,,Glasgow,VA,24555,37.6341293,-79.44858498,,,
624,Gordon Street,,,Glasgow,VA,24555,37.63415639,-79.44589986,,,
633,Fitzlee Street,,,Glasgow,VA,24555,37.63418708,-79.44680867,,,
724,Anderson Street,,,Glasgow,VA,24555,37.63426547,-79.44916585,,,
741,McCulloch Street,,,Glasgow,VA,24555,37.63427705,-79.45013287,,,
739,McCulloch Street,,,Glasgow,VA,24555,37.63431907,-79.45007602,,,
5793,Forge Road,,,Glasgow,VA,24555,37.63433888,-79.52415736,,,
713,Anderson Street,,,Glasgow,VA,24555,37.63435062,-79.44832592,,,
737,McCulloch Street,,,Glasgow,VA,24555,37.63435771,-79.45004874,,,
1100,Blue Ridge Road,,,Glasgow,VA,24555,37.63439476,-79.45055793,Glasgow Police Department,,https://glasgowvirginia.org/police
735,McCulloch Street,,,Glasgow,VA,24555,37.63439603,-79.44999515,,,
1117,Blue Ridge Road,,,Glasgow,VA,24555,37.63443039,-79.45154314,,,
733,McCulloch Street,,,Glasgow,VA,24555,37.63446677,-79.44978026,,,
612,Gordon Street,,,Glasgow,VA,24555,37.63450749,-79.44545625,,,
1121,Blue Ridge Road,,,Glasgow,VA,24555,37.63453453,-79.4522316,,,
703,Anderson Street,,,Glasgow,VA,24555,37.63454162,-79.44792611,,,
712,Anderson Street,,,Glasgow,VA,24555,37.63454859,-79.44880075,,,
621,Fitzlee Street,,,Glasgow,VA,24555,37.63465694,-79.44625055,,,
710,Anderson Street,,,Glasgow,VA,24555,37.63466485,-79.44864663,,,
5786,Forge Road,,,Glasgow,VA,24555,37.63469945,-79.52515569,,,
5741,Forge Road,,,Glasgow,VA,24555,37.63471178,-79.52328122,,,
721,McCulloch Street,,,Glasgow,VA,24555,37.63473994,-79.44943136,,,
626,Fitzlee Street,,,Glasgow,VA,24555,37.63476812,-79.44672568,,,
617,Fitzlee Street,,,Glasgow,VA,24555,37.6347997,-79.44609085,,,
730,McCulloch Street,,,Glasgow,VA,24555,37.63480026,-79.45031148,,,
1108,Blue Ridge Road,,,Glasgow,VA,24555,37.63481709,-79.45092954,Glasgow Public Library,,https://www.rrlib.net/our-branches/glasgow/
702,Anderson Street,,,Glasgow,VA,24555,37.6348382,-79.44834463,,,
1123,Blue Ridge Road,,,Glasgow,VA,24555,37.63488721,-79.45179398,,,
704,Anderson Street,,,Glasgow,VA,24555,37.63491945,-79.44861465,,,
722,McCulloch Street,,,Glasgow,VA,24555,37.63493744,-79.44988654,,,
635,Anderson Street,,,Glasgow,VA,24555,37.63495892,-79.44752482,,,
715,McCulloch Street,,,Glasgow,VA,24555,37.63497968,-79.44911727,,,
609,Fitzlee Street,,,Glasgow,VA,24555,37.63502334,-79.44581507,,,
711,McCulloch Street,,,Glasgow,VA,24555,37.63506851,-79.44900397,,,
1333,Smiley Lane,,,Glasgow,VA,24555,37.63511581,-79.45403502,,,
729,Powhatan Street,,,Glasgow,VA,24555,37.63511658,-79.45062521,,,
605,Fitzlee Street,,,Glasgow,VA,24555,37.63514826,-79.44568455,,,
5717,Forge Road,,,Glasgow,VA,24555,37.63515792,-79.52226542,,,
616,Fitzlee Street,,,Glasgow,VA,24555,37.63515939,-79.44639314,,,
716,McCulloch Street,,,Glasgow,VA,24555,37.63516352,-79.44964814,,,
623,Anderson Street,,,Glasgow,VA,24555,37.63521715,-79.44718684,,,
1010,7th Street,,,Glasgow,VA,24555,37.63523398,-79.44819714,,,
5780,Forge Road,,,Glasgow,VA,24555,37.63524013,-79.5241119,,,
703,McCulloch Street,,,Glasgow,VA,24555,37.63528856,-79.44883013,,,
630,Anderson Street,,,Glasgow,VA,24555,37.63529497,-79.44781605,,,
5715,Forge Road,,,Glasgow,VA,24555,37.63530256,-79.52145069,,,
617,Anderson Street,,,Glasgow,VA,24555,37.63537946,-79.44690441,,,
710,McCulloch Street,,,Glasgow,VA,24555,37.63538779,-79.44955839,,,
5770,Forge Road,,,Glasgow,VA,24555,37.63547676,-79.52338634,,,
1331,Kelvin Grove,,,Glasgow,VA,24555,37.63548537,-79.45343578,,,
719,Powhatan Street,,,Glasgow,VA,24555,37.6354862,-79.45019761,,,
639,McCulloch Street,,,Glasgow,VA,24555,37.63551146,-79.44854439,,,
620,Anderson Street,,,Glasgow,VA,24555,37.63554461,-79.44749929,,,
702,McCulloch Street,,,Glasgow,VA,24555,37.63554578,-79.44919121,,,
613,Anderson Street,,,Glasgow,VA,24555,37.63555928,-79.44670851,,,
602,Fitzlee Street,,,Glasgow,VA,24555,37.63559306,-79.44599461,,,
715,Powhatan Street,,,Glasgow,VA,24555,37.63561846,-79.45000426,,,
620,Anderson Street,,A,Glasgow,VA,24555,37.63564088,-79.44757502,,,
609,Anderson Street,,,Glasgow,VA,24555,37.63567945,-79.44659834,,,
620,Anderson Street,,B,Glasgow,VA,24555,37.63569979,-79.44766767,,,
607,Anderson Street,,,Glasgow,VA,24555,37.63571316,-79.44648002,,,
616,Anderson Street,,,Glasgow,VA,24555,37.63574184,-79.44723467,,,
627,McCulloch Street,,,Glasgow,VA,24555,37.63580288,-79.44814989,,,
618,Anderson Street,,A,Glasgow,VA,24555,37.63581252,-79.44740431,,,
2215,Wert Faulkner Highway,,,Glasgow,VA,24555,37.63582694,-79.47198674,,,
1104,7th Street,,,Glasgow,VA,24555,37.63584514,-79.44892266,,,
1351,Kelvin Grove,,,Glasgow,VA,24555,37.63586285,-79.45299778,,,
634,McCulloch Street,,,Glasgow,VA,24555,37.63586809,-79.44872292,,,
618,Anderson Street,,B,Glasgow,VA,24555,37.63587839,-79.44748005,,,
632,McCulloch Street,,,Glasgow,VA,24555,37.63592692,-79.44865195,,,
623,McCulloch Street,,,Glasgow,VA,24555,37.63592952,-79.44804685,,,
612,Anderson Street,,,Glasgow,VA,24555,37.63593356,-79.44703149,,,
703,Powhatan Street,,,Glasgow,VA,24555,37.63599388,-79.4496457,,,
615,McCulloch Street,,,Glasgow,VA,24555,37.63612913,-79.44771448,,,
1421,Kelvin Grove,,,Glasgow,VA,24555,37.63613761,-79.45331635,,,
602,Anderson Street,,,Glasgow,VA,24555,37.63616296,-79.44673988,,,
637,Powhatan Street,,,Glasgow,VA,24555,37.63617598,-79.4493282,,,
39,Delaware Lane,,,Glasgow,VA,24555,37.63617918,-79.51916916,,,
622,McCulloch Street,,,Glasgow,VA,24555,37.63621256,-79.44836223,,,
5690,Forge Road,,,Glasgow,VA,24555,37.6362326,-79.52182696,,,
28,Delaware Lane,,,Glasgow,VA,24555,37.63624604,-79.51966573,,,
1451,Kelvin Grove,,A,Glasgow,VA,24555,37.63627897,-79.45370061,,,
611,McCulloch Street,,,Glasgow,VA,24555,37.63631908,-79.44750231,,,
620,McCulloch Street,,,Glasgow,VA,24555,37.63632522,-79.44819659,,,
633,Powhatan Street,,,Glasgow,VA,24555,37.63634817,-79.44909726,,,
629,Powhatan Street,,,Glasgow,VA,24555,37.63642477,-79.44895009,,,
616,McCulloch Street,,,Glasgow,VA,24555,37.63645034,-79.44809596,,,
605,McCulloch Street,,,Glasgow,VA,24555,37.63646335,-79.44735403,,,
1451,Kelvin Grove,,,Glasgow,VA,24555,37.63647476,-79.45340395,,,
610,McCulloch Street,,,Glasgow,VA,24555,37.63656251,-79.44788571,,,
5720,Forge Road,,,Glasgow,VA,24555,37.63663605,-79.52320688,,,
623,Powhatan Street,,,Glasgow,VA,24555,37.63664723,-79.44874599,,,
606,McCulloch Street,,,Glasgow,VA,24555,37.63667649,-79.44776225,,,
1301,7th Street,,,Glasgow,VA,24555,37.63669998,-79.45071627,,,
619,Powhatan Street,,,Glasgow,VA,24555,37.63675698,-79.44859458,,,
5644,Forge Road,,,Glasgow,VA,24555,37.63676081,-79.52041964,,,
602,McCulloch Street,,,Glasgow,VA,24555,37.63681073,-79.44763053,,,
615,Powhatan Street,,,Glasgow,VA,24555,37.63683835,-79.4484567,,,
1531,Blue Ridge Road,,,Glasgow,VA,24555,37.63688829,-79.45389298,,,
609,Powhatan Street,,,Glasgow,VA,24555,37.63700407,-79.44826776,,,
1307,7th Street,,,Glasgow,VA,24555,37.63704081,-79.45109444,,,
1521,Blue Ridge Road,,,Glasgow,VA,24555,37.63707834,-79.45309269,,,
636,Shenandoah Road,,,Glasgow,VA,24555,37.63710962,-79.45034685,,,
601,Powhatan Street,,,Glasgow,VA,24555,37.6371844,-79.44802571,,,
1309,7th Street,,,Glasgow,VA,24555,37.63720741,-79.45132698,,,
630,Shenandoah Road,,,Glasgow,VA,24555,37.63729554,-79.45012124,,,
1425,7th Street,,,Glasgow,VA,24555,37.63740793,-79.45158157,,,
1435,7th Street,,,Glasgow,VA,24555,37.63746544,-79.45174418,,,
637,Pocahontas Street,,,Glasgow,VA,24555,37.63747505,-79.45086253,,,
1451,7th Street,,,Glasgow,VA,24555,37.63753166,-79.45188238,,,
622,Shenandoah Road,,,Glasgow,VA,24555,37.63753995,-79.44981194,,,
633,Pocahontas Street,,,Glasgow,VA,24555,37.63755621,-79.45069924,,,
5598,Forge Road,,,Glasgow,VA,24555,37.63757707,-79.51976838,,,
1537,Blue Ridge Road,,,Glasgow,VA,24555,37.63762015,-79.45379874,,,
618,Shenandoah Road,,,Glasgow,VA,24555,37.63769942,-79.44961672,,,
1452,7th Street,,,Glasgow,VA,24555,37.63772487,-79.45124419,,,
5628,Forge Road,,,Glasgow,VA,24555,37.63773494,-79.52037987,,,
