addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
98,Claytor Lane,,,Glasgow,VA,24555,37.68020579,-79.4691405,,,
5,Claytor Lane,,,Glasgow,VA,24555,37.68042935,-79.46579365,,,
20,River Rox Lane,,,Glasgow,VA,24555,37.68047164,-79.46169642,,,
807,Falling Spring Road,,,Glasgow,VA,24555,37.68057087,-79.46461393,,,
791,Falling Spring Road,,,Glasgow,VA,24555,37.68062504,-79.46383092,,,
821,Falling Spring Road,,,Glasgow,VA,24555,37.68065952,-79.46517367,,,
18,Country Castle Lane,,,Glasgow,VA,24555,37.68074122,-79.4633147,,,
2928,Forge Road,,,Glasgow,VA,24555,37.68075178,-79.44187927,,,
125,Twin Rivers Lane,,,Glasgow,VA,24555,37.68092599,-79.42585748,,,
67,Lone Jack Road,,,Glasgow,VA,24555,37.68118935,-79.45610621,,,
2880,Forge Road,,,Glasgow,VA,24555,37.68183657,-79.4406044,,,
20,Lotta Water Lane,,,Glasgow,VA,24555,37.6819986,-79.43031248,,,
583,Falling Spring Road,,,Glasgow,VA,24555,37.6820361,-79.45692125,,,
525,Falling Spring Road,,,Glasgow,VA,24555,37.68204068,-79.45501884,,,
2819,Forge Road,,,Glasgow,VA,24555,37.68209671,-79.43801623,,,
2842,Forge Road,,,Glasgow,VA,24555,37.68243418,-79.43940136,,,
582,Falling Spring Road,,,Glasgow,VA,24555,37.68258469,-79.45694162,,,
2824,Forge Road,,,Glasgow,VA,24555,37.68271575,-79.43878462,,,
933,Falling Spring Road,,,Glasgow,VA,24555,37.68283218,-79.46814668,,,
1009,Falling Spring Road,,,Glasgow,VA,24555,37.68301925,-79.47054605,,,
2805,Forge Road,,,Glasgow,VA,24555,37.6831135,-79.43420439,,,
65,Falling Spring Road,,,Glasgow,VA,24555,37.68322901,-79.44020727,,,
650,Falling Spring Road,,,Glasgow,VA,24555,37.68323588,-79.45940955,,,
77,Falling Spring Road,,,Glasgow,VA,24555,37.68332326,-79.44060309,,,
125,Fancy Hill Lane,,,Glasgow,VA,24555,37.68336349,-79.48822596,,,
100,Newken Brae Lane,,,Glasgow,VA,24555,37.68356771,-79.47812254,,,
87,Falling Spring Road,,,Glasgow,VA,24555,37.68362635,-79.44099554,,,
125,Millers Landing Lane,,,Glasgow,VA,24555,37.68365245,-79.43037355,,,
141,Falling Spring Road,,,Glasgow,VA,24555,37.68365942,-79.4429356,,,
205,Falling Spring Road,,,Glasgow,VA,24555,37.68369951,-79.44600431,,,
101,Woodcrest Lane,,,Glasgow,VA,24555,37.68398001,-79.48270417,,,
110,Woodcrest Lane,,,Glasgow,VA,24555,37.68398003,-79.48135218,,,
78,Woodcrest Lane,,,Glasgow,VA,24555,37.68409737,-79.48326303,,,
33,Finneys Cut Lane,,,Glasgow,VA,24555,37.68420969,-79.48588148,,,
540,Falling Spring Road,,,Glasgow,VA,24555,37.68422172,-79.45526635,,,
1323,Falling Spring Road,,,Glasgow,VA,24555,37.68444605,-79.47979653,,,
1321,Falling Spring Road,,,Glasgow,VA,24555,37.68445917,-79.48023861,,,
291,Falling Spring Road,,,Glasgow,VA,24555,37.68462638,-79.44710785,,,
160,Falling Spring Road,,,Glasgow,VA,24555,37.68474332,-79.44305876,,,
45,Newken Brae Lane,,,Glasgow,VA,24555,37.68475123,-79.47877669,,,
410,Falling Spring Road,,,Glasgow,VA,24555,37.684776,-79.45189047,,,
100,Falling Spring Road,,,Glasgow,VA,24555,37.68498957,-79.4421907,,,
386,Falling Spring Road,,,Glasgow,VA,24555,37.68516337,-79.45105447,,,
1413,Falling Spring Road,,,Glasgow,VA,24555,37.68520229,-79.48394796,,,
22,Finneys Cut Lane,,,Glasgow,VA,24555,37.68533031,-79.4848982,,,
1333,Falling Spring Road,,,Glasgow,VA,24555,37.68534867,-79.48161399,,,
602,Falling Spring Road,,,Glasgow,VA,24555,37.68552869,-79.45801307,,,
