addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
7123,West Midland Trail,,,Goshen,VA,24439,37.88252298,-79.60642451,,,
267,Brattons Run,,,Goshen,VA,24439,37.89384776,-79.59677772,,,
6570,West Midland Trail,,,Goshen,VA,24439,37.8941704,-79.59193074,,,
380,Spring House Road,,,Goshen,VA,24439,37.90619885,-79.61396035,,,
390,Spring House Road,,,Goshen,VA,24439,37.90664575,-79.61427218,,,
394,Spring House Road,,,Goshen,VA,24439,37.90667539,-79.61381146,,,
245,Spring House Road,,,Goshen,VA,24439,37.90670758,-79.60953853,,,
290,Spring House Road,,,Goshen,VA,24439,37.90670948,-79.61279182,,,
235,Spring House Road,,,Goshen,VA,24439,37.90673923,-79.61075485,,,
807,Brattons Run,,,Goshen,VA,24439,37.90723975,-79.58778878,,,
230,Spring House Road,,,Goshen,VA,24439,37.90743494,-79.6110568,,,
260,Spring House Road,,,Goshen,VA,24439,37.90743834,-79.61192685,,,
655,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.9077007,-79.58595798,,,
450,Spring House Road,,,Goshen,VA,24439,37.9077991,-79.6134087,,,
665,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.90780383,-79.58684563,,,
200,Spring House Road,,,Goshen,VA,24439,37.90783487,-79.61048048,,,
60,Alum Court,,,Goshen,VA,24439,37.90787007,-79.6081006,,,
460,Spring House Road,,,Goshen,VA,24439,37.90791533,-79.61271675,,,
170,Spring House Road,,,Goshen,VA,24439,37.90808648,-79.6091792,,,
470,Spring House Road,,,Goshen,VA,24439,37.90823892,-79.61332805,,,
844,Brattons Run,,,Goshen,VA,24439,37.90827721,-79.58745597,,,
190,Spring House Road,,,Goshen,VA,24439,37.90828432,-79.61002599,,,
771,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.90854272,-79.58902233,,,
490,Spring House Road,,,Goshen,VA,24439,37.90868403,-79.61317482,,,
580,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.90875632,-79.58285081,,,
675,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.9088303,-79.58644451,,,
825,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.90891137,-79.59101443,,,
495,Spring House Road,,,Goshen,VA,24439,37.90911133,-79.61320249,,,
115,Spring House Road,,,Goshen,VA,24439,37.90920647,-79.60694616,,,
628,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.90920769,-79.58462764,,,
525,Spring House Road,,,Goshen,VA,24439,37.90921985,-79.61235056,,,
505,Spring House Road,,,Goshen,VA,24439,37.90922591,-79.61293389,,,
515,Spring House Road,,,Goshen,VA,24439,37.90924619,-79.61257088,,,
672,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.9093084,-79.58630485,,,
557,Spring House Road,,,Goshen,VA,24439,37.90932456,-79.61190548,,,
555,Spring House Road,,,Goshen,VA,24439,37.90933803,-79.61202485,,,
694,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.90938402,-79.58700579,,,
560,Spring House Road,,,Goshen,VA,24439,37.9093919,-79.61110428,,,
632,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.90954065,-79.58505329,,,
90,Spring House Road,,,Goshen,VA,24439,37.90982983,-79.60759967,,,
809,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.90996959,-79.5910955,,,
778,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.91021031,-79.58990242,,,
764,Rockbridge Alum Springs Road,,,Goshen,VA,24439,37.91126451,-79.58939054,,,
965,Brattons Run,,,Goshen,VA,24439,37.91171576,-79.58640708,,,
925,Brattons Run,,,Goshen,VA,24439,37.9118922,-79.58677154,,,
1015,Brattons Run,,,Goshen,VA,24439,37.91320275,-79.58629091,,,
1017,Brattons Run,,,Goshen,VA,24439,37.9139902,-79.58689141,,,
25,Crow Haven Lane,,,Goshen,VA,24439,37.91470976,-79.58611319,,,
20,Crow Haven Lane,,,Goshen,VA,24439,37.91519179,-79.58598279,,,
1106,Brattons Run,,,Goshen,VA,24439,37.91563533,-79.58463276,,,
1105,Brattons Run,,,Goshen,VA,24439,37.91575754,-79.58548261,,,
200,Bible Camp Lane,,,Goshen,VA,24439,37.91586154,-79.58870967,,,
185,Bible Camp Lane,,,Goshen,VA,24439,37.91632246,-79.58899534,,,
176,Bible Camp Lane,,,Goshen,VA,24439,37.91642123,-79.58957619,,,
174,Bible Camp Lane,,,Goshen,VA,24439,37.9166182,-79.58963296,,,
1149,Brattons Run,,,Goshen,VA,24439,37.91703322,-79.58514068,,,
111,Bible Camp Lane,,,Goshen,VA,24439,37.91770112,-79.58799327,,,
19,Bible Camp Lane,,,Goshen,VA,24439,37.91808737,-79.58523608,,,
1206,Brattons Run,,,Goshen,VA,24439,37.91846086,-79.58401731,,,
15,Needle Lane,,,Goshen,VA,24439,37.91871357,-79.5875636,,,
25,Needle Lane,,,Goshen,VA,24439,37.91909362,-79.58723482,,,
35,Needle Lane,,,Goshen,VA,24439,37.91940544,-79.58699403,,,
180,Lowhouse Hollow,,,Goshen,VA,24439,37.92227583,-79.58025447,,,
34,Game Patch Lane,,,Goshen,VA,24439,37.92661062,-79.5831731,,,
8,Blacks Run,,,Goshen,VA,24439,37.92716782,-79.58426251,,,
10,Blacks Run,,,Goshen,VA,24439,37.92723614,-79.58380215,,,
5,Game Patch Lane,,,Goshen,VA,24439,37.92743365,-79.58072324,,,
11,Quicksand Circle,,,Goshen,VA,24439,37.92766482,-79.5835894,,,
140,Jym Springs Lane,,,Goshen,VA,24439,37.92787503,-79.57708072,,,
16,Quicksand Circle,,,Goshen,VA,24439,37.92823947,-79.58294359,,,
44,Quicksand Circle,,,Goshen,VA,24439,37.92856391,-79.58241375,,,
1608,Brattons Run,,,Goshen,VA,24439,37.92866944,-79.58052884,,,
1776,Brattons Run,,,Goshen,VA,24439,37.92903065,-79.57252739,,,
1624,Brattons Run,,,Goshen,VA,24439,37.92910158,-79.57998718,,,
1615,Brattons Run,,,Goshen,VA,24439,37.92927165,-79.58145522,,,
1629,Brattons Run,,,Goshen,VA,24439,37.9296604,-79.58063038,,,
1670,Brattons Run,,,Goshen,VA,24439,37.92981249,-79.5788754,,,
35,Jym Springs Lane,,,Goshen,VA,24439,37.93036616,-79.57723862,,,
1535,Brattons Run,,,Goshen,VA,24439,37.93232263,-79.58876706,,,
1790,Brattons Run,,,Goshen,VA,24439,37.93271781,-79.57516906,,,
1813,Brattons Run,,,Goshen,VA,24439,37.93336276,-79.57608921,,,
1848,Brattons Run,,,Goshen,VA,24439,37.93361239,-79.57475065,,,
1859,Brattons Run,,,Goshen,VA,24439,37.93442874,-79.57502493,,,
1872,Brattons Run,,,Goshen,VA,24439,37.93445101,-79.57423743,,,
18,Shamrock Hill Lane,,,Goshen,VA,24439,37.93463538,-79.5732994,,,
10,Shamrock Hill Lane,,,Goshen,VA,24439,37.93482023,-79.57337325,,,
9,Shamrock Hill Lane,,,Goshen,VA,24439,37.93483793,-79.57313615,,,
42,Irish Bank Court,,,Goshen,VA,24439,37.93522056,-79.57287031,,,
1895,Brattons Run,,,Goshen,VA,24439,37.93527015,-79.5743094,,,
35,Irish Bank Court,,,Goshen,VA,24439,37.93531642,-79.57339116,,,
54,Irish Bank Court,,,Goshen,VA,24439,37.93546261,-79.57258594,,,
64,Irish Bank Court,,,Goshen,VA,24439,37.93578954,-79.57229455,,,
1927,Brattons Run,,,Goshen,VA,24439,37.93600555,-79.57362446,,,
2,Stansbury Avenue,,,Goshen,VA,24439,37.93622051,-79.5725973,,,
1943,Brattons Run,,,Goshen,VA,24439,37.9363683,-79.57421457,,,
24,Stansbury Avenue,,,Goshen,VA,24439,37.93652832,-79.57212777,,,
2,Gochenhour Lane,,,Goshen,VA,24439,37.93704897,-79.57193219,,,
447,Texas Lane,,,Goshen,VA,24439,37.9376605,-79.55812979,,,
30,Gochenhour Lane,,,Goshen,VA,24439,37.93793651,-79.57155896,,,
471,Texas Lane,,,Goshen,VA,24439,37.93813102,-79.55873639,,,
2044,Brattons Run,,,Goshen,VA,24439,37.93859276,-79.57105188,,,
338,Texas Lane,,,Goshen,VA,24439,37.93893827,-79.55677643,,,
575,Texas Lane,,,Goshen,VA,24439,37.93965138,-79.56014683,,,
577,Texas Lane,,,Goshen,VA,24439,37.93969984,-79.56117005,,,
304,Texas Lane,,,Goshen,VA,24439,37.9398092,-79.55689632,,,
423,Round House Lane,,,Goshen,VA,24439,37.94113662,-79.55144223,,,
256,Texas Lane,,,Goshen,VA,24439,37.9412907,-79.55736719,,,
40,Wylie Lane,,,Goshen,VA,24439,37.94130805,-79.55502674,,,
2260,Brattons Run,,,Goshen,VA,24439,37.94245898,-79.56452662,,,
95,Wylie Lane,,,Goshen,VA,24439,37.94255148,-79.5545181,,,
202,Texas Lane,,,Goshen,VA,24439,37.9426666,-79.55685046,,,
2296,Brattons Run,,,Goshen,VA,24439,37.94331838,-79.56408758,,,
5,Chinkapin Lane,,,Goshen,VA,24439,37.94354918,-79.56282401,,,
128,Texas Lane,,,Goshen,VA,24439,37.94381154,-79.55740459,,,
129,Texas Lane,,,Goshen,VA,24439,37.94444452,-79.55466464,,,
55,Chinkapin Lane,,,Goshen,VA,24439,37.94457307,-79.56119658,,,
56,Texas Lane,,,Goshen,VA,24439,37.94466571,-79.55811457,,,
295,Round House Lane,,,Goshen,VA,24439,37.94499469,-79.55102882,,,
24,Chinkapin Lane,,,Goshen,VA,24439,37.94563889,-79.5603752,,,
55,Texas Lane,,,Goshen,VA,24439,37.94722183,-79.55733264,,,
66,Tree Lane,,,Goshen,VA,24439,37.94757306,-79.5562442,,,
2507,Brattons Run,,,Goshen,VA,24439,37.9480706,-79.55960223,,,
102,Tree Lane,,,Goshen,VA,24439,37.94813605,-79.55542531,,,
2748,Brattons Run,,,Goshen,VA,24439,37.94938095,-79.55269911,,,
2509,Brattons Run,,,Goshen,VA,24439,37.94968909,-79.5580015,,,
2669,Brattons Run,,,Goshen,VA,24439,37.95002944,-79.55528143,,,
2904,Brattons Run,,,Goshen,VA,24439,37.95074301,-79.54826743,,,
2964,Brattons Run,,,Goshen,VA,24439,37.95147229,-79.54437243,,,
120,Happy Jack Trail,,,Goshen,VA,24439,37.95163954,-79.55574816,,,
24,Round House Lane,,,Goshen,VA,24439,37.95164143,-79.55128027,,,
70,Happy Jack Trail,,,Goshen,VA,24439,37.95198447,-79.55398388,,,
7850,Maury River Road,,,Goshen,VA,24439,37.95228463,-79.46221908,,,
2798,Brattons Run,,,Goshen,VA,24439,37.95263254,-79.5494766,,,
2788,Brattons Run,,,Goshen,VA,24439,37.95284637,-79.55077763,,,
2903,Brattons Run,,,Goshen,VA,24439,37.95341611,-79.5469177,,,
50,Happy Jack Trail,,,Goshen,VA,24439,37.95351283,-79.55342121,,,
2865,Brattons Run,,,Goshen,VA,24439,37.95355923,-79.54762105,,,
2833,Brattons Run,,,Goshen,VA,24439,37.9536438,-79.54956835,,,
2859,Brattons Run,,,Goshen,VA,24439,37.95366774,-79.54863561,,,
2797,Brattons Run,,,Goshen,VA,24439,37.95416413,-79.55153872,,,
3207,Brattons Run,,,Goshen,VA,24439,37.95698309,-79.53831723,,,
3324,Brattons Run,,,Goshen,VA,24439,37.957,-79.5315788,,,
8245,Maury River Road,,,Goshen,VA,24439,37.95728063,-79.47583042,,,
29,Pond View Lane,,,Goshen,VA,24439,37.95854411,-79.53164897,,,
5,Pond View Lane,,,Goshen,VA,24439,37.95902095,-79.53176932,,,
395,Beltway Drive,,,Goshen,VA,24439,37.95979035,-79.45950805,,,
3500,Brattons Run,,,Goshen,VA,24439,37.96007133,-79.52899533,,,
565,Beltway Drive,,,Goshen,VA,24439,37.96051852,-79.45186244,,,
65,Camp Post Lane,,,Goshen,VA,24439,37.96061808,-79.4634309,,,
75,Camp Post Lane,,,Goshen,VA,24439,37.96066135,-79.46368498,,,
55,Camp Post Lane,,,Goshen,VA,24439,37.96070138,-79.46193538,,,
85,Camp Post Lane,,,Goshen,VA,24439,37.9607615,-79.46411154,,,
89,Camp Post Lane,,,Goshen,VA,24439,37.960779,-79.46434893,,,
199,Trail Riders Lane,,,Goshen,VA,24439,37.96082989,-79.53114932,,,
95,Camp Post Lane,,,Goshen,VA,24439,37.9608485,-79.46456246,,,
99,Camp Post Lane,,,Goshen,VA,24439,37.96095023,-79.46479276,,,
101,Camp Post Lane,,,Goshen,VA,24439,37.96098637,-79.46512853,,,
105,Camp Post Lane,,,Goshen,VA,24439,37.96106545,-79.46495781,,,
80,Camp Post Lane,,,Goshen,VA,24439,37.96107438,-79.46385387,,,
107,Camp Post Lane,,,Goshen,VA,24439,37.96120907,-79.46481246,,,
3596,Brattons Run,,,Goshen,VA,24439,37.96185952,-79.52555248,,,
3557,Brattons Run,,,Goshen,VA,24439,37.96204753,-79.52709808,,,
3565,Brattons Run,,,Goshen,VA,24439,37.96221699,-79.527096,,,
115,Camp Virginia Drive,,,Goshen,VA,24439,37.96240375,-79.47711018,,,
150,Camp Post Lane,,,Goshen,VA,24439,37.96254231,-79.46408544,,,
125,Camp Virginia Drive,,,Goshen,VA,24439,37.96272077,-79.47776487,,,
205,Camp Virginia Drive,,,Goshen,VA,24439,37.96285907,-79.47952442,,,
200,Camp Virginia Drive,,,Goshen,VA,24439,37.96329725,-79.47953792,,,
36,Trail Riders Lane,,,Goshen,VA,24439,37.96339473,-79.52595119,,,
175,Camp Virginia Drive,,,Goshen,VA,24439,37.96374189,-79.48007311,,,
3788,Brattons Run,,,Goshen,VA,24439,37.96484499,-79.51969856,,,
72,Beltway Drive,,,Goshen,VA,24439,37.96547741,-79.46845218,,,
70,Beltway Drive,,,Goshen,VA,24439,37.96568474,-79.46824606,,,
76,Beltway Drive,,,Goshen,VA,24439,37.96576086,-79.46778729,,,
323,Millard Burke Memorial Highway,,,Goshen,VA,24439,37.96582921,-79.47272989,,,
175,Beltway Drive,,,Goshen,VA,24439,37.96624599,-79.46151638,,,
60,Beltway Drive,,,Goshen,VA,24439,37.96631718,-79.46840643,,,
1135,Beltway Drive,,,Goshen,VA,24439,37.96681356,-79.44249871,,,
250,North Fork Lane,,,Goshen,VA,24439,37.96683269,-79.51072979,,,
25,Scarlet Lane,,,Goshen,VA,24439,37.96722836,-79.50111349,,,
14,Scarlet Lane,,,Goshen,VA,24439,37.96749204,-79.50288114,,,
21,Scarlet Lane,,,Goshen,VA,24439,37.96771595,-79.5023296,,,
8,Scarlet Lane,,,Goshen,VA,24439,37.96798009,-79.50281865,,,
470,Millard Burke Memorial Highway,,,Goshen,VA,24439,37.96817804,-79.46366856,,,
3952,Brattons Run,,,Goshen,VA,24439,37.96828886,-79.51617972,,,
230,North Fork Lane,,,Goshen,VA,24439,37.9684828,-79.50934043,,,
3953,Brattons Run,,,Goshen,VA,24439,37.96912231,-79.51597793,,,
3970,Brattons Run,,,Goshen,VA,24439,37.96933312,-79.51481811,,,
3973,Brattons Run,,,Goshen,VA,24439,37.96951599,-79.51544087,,,
255,Cemetery Lane,,,Goshen,VA,24439,37.96966151,-79.45546498,,,
3997,Brattons Run,,,Goshen,VA,24439,37.96996144,-79.51479091,,,
245,Cemetery Lane,,,Goshen,VA,24439,37.97011305,-79.45519595,,,
4013,Brattons Run,,,Goshen,VA,24439,37.97035774,-79.5143326,,,
240,Cemetery Lane,,,Goshen,VA,24439,37.9704354,-79.45584429,,,
4108,Brattons Run,,,Goshen,VA,24439,37.9708249,-79.5109032,,,
4081,Brattons Run,,,Goshen,VA,24439,37.97119901,-79.51199312,,,
4095,Brattons Run,,,Goshen,VA,24439,37.97125629,-79.51153638,,,
9223,Maury River Road,,,Goshen,VA,24439,37.97131029,-79.5072426,,,
4101,Brattons Run,,,Goshen,VA,24439,37.97139366,-79.5113065,,,
25,Old Dump Lane,,,Goshen,VA,24439,37.97168805,-79.51316766,,,
