addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
969,Little River Road,,,Goshen,VA,24439,38.01882614,-79.42106038,,,
873,Big River Road,,,Goshen,VA,24439,38.01955242,-79.50374273,,,
897,Big River Road,,,Goshen,VA,24439,38.01984379,-79.50280858,,,
1311,Little River Road,,,Goshen,VA,24439,38.01991313,-79.41282886,,,
1392,Little River Road,,,Goshen,VA,24439,38.01994311,-79.40944886,,,
95,Half Moon Holler Lane,,,Goshen,VA,24439,38.02000242,-79.40517702,,,
2770,Virginia Avenue,,,Goshen,VA,24439,38.02003146,-79.46090353,,,
4,Toma Run Lane,,,Goshen,VA,24439,38.02016098,-79.4112374,,,
909,Big River Road,,,Goshen,VA,24439,38.02067801,-79.50451099,,,
320,Glover Run Lane,,,Goshen,VA,24439,38.02107243,-79.39710692,,,
571,Little River Road,,,Goshen,VA,24439,38.02118072,-79.43438424,,,
92,Hawk Nest Lane,,,Goshen,VA,24439,38.02144786,-79.45894865,,,
533,Little River Road,,,Goshen,VA,24439,38.02148774,-79.43511233,,,
517,Little River Road,,,Goshen,VA,24439,38.02148991,-79.43605014,,,
501,Little River Road,,,Goshen,VA,24439,38.02166715,-79.43655683,,,
150,Toma Run Lane,,,Goshen,VA,24439,38.02191146,-79.41525881,,,
106,Toma Run Lane,,,Goshen,VA,24439,38.02199673,-79.41368562,,,
20,Ingrams Hill Road,,,Goshen,VA,24439,38.02203394,-79.45765308,,,
155,Lilley Hill Lane,,,Goshen,VA,24439,38.02203511,-79.45408316,,,
84,Hawk Nest Lane,,,Goshen,VA,24439,38.02205351,-79.45961137,,,
258,Glover Run Lane,,,Goshen,VA,24439,38.02241431,-79.39582428,,,
255,Glover Run Lane,,,Goshen,VA,24439,38.02256944,-79.39468799,,,
171,Ingrams Hill Road,,,Goshen,VA,24439,38.0227883,-79.46139452,,,
46,Ingrams Hill Road,,,Goshen,VA,24439,38.02284635,-79.45713371,,,
65,Ingrams Hill Road,,,Goshen,VA,24439,38.02290954,-79.45796316,,,
1512,Little River Road,,,Goshen,VA,24439,38.02304439,-79.40731723,,,
77,Ingrams Hill Road,,,Goshen,VA,24439,38.02330693,-79.45808469,,,
74,Ingrams Hill Road,,,Goshen,VA,24439,38.02335299,-79.45750989,,,
23,Small Lane,,,Goshen,VA,24439,38.02337834,-79.45970602,,,
45,Lilley Hill Lane,,,Goshen,VA,24439,38.02355153,-79.45202638,,,
2857,Virginia Avenue,,,Goshen,VA,24439,38.02358081,-79.45648627,,,
16,Farrow Circle,,,Goshen,VA,24439,38.02372756,-79.45741475,,,
151,Ingrams Hill Road,,,Goshen,VA,24439,38.02391801,-79.45969646,,,
164,Ingrams Hill Road,,,Goshen,VA,24439,38.02397888,-79.46033571,,,
127,Ingrams Hill Road,,,Goshen,VA,24439,38.02404349,-79.45898198,,,
140,Ingrams Hill Road,,,Goshen,VA,24439,38.02410503,-79.4594427,,,
40,Farrow Circle,,,Goshen,VA,24439,38.02425174,-79.45790178,,,
2899,Virginia Avenue,,,Goshen,VA,24439,38.02426011,-79.4557145,,,
170,Ingrams Hill Road,,,Goshen,VA,24439,38.02467622,-79.46219217,,,
347,Little River Road,,,Goshen,VA,24439,38.02480896,-79.44076062,,,
