addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
256,La Lane,,,Lexington,VA,24450,37.66148961,-79.63540945,,,
3703,South Buffalo Road,,,Lexington,VA,24450,37.66168734,-79.64280642,,,
37,La Lane,,,Lexington,VA,24450,37.66228736,-79.64094449,,,
13,La Lane,,,Lexington,VA,24450,37.66279396,-79.64092293,,,
3608,South Buffalo Road,,,Lexington,VA,24450,37.66417706,-79.64157331,,,
3455,South Buffalo Road,,,Lexington,VA,24450,37.66444036,-79.62858229,,,
3606,South Buffalo Road,,,Lexington,VA,24450,37.66458067,-79.64179634,,,
5,Long Branch Lane,,,Lexington,VA,24450,37.66466912,-79.6408741,,,
285,Long Branch Lane,,,Lexington,VA,24450,37.66500054,-79.64933475,,,
3562,South Buffalo Road,,,Lexington,VA,24450,37.66503227,-79.64054936,,,
3546,South Buffalo Road,,,Lexington,VA,24450,37.66545047,-79.64016847,,,
325,Long Branch Lane,,,Lexington,VA,24450,37.66566327,-79.65089582,,,
152,Long Branch Lane,,,Lexington,VA,24450,37.66567687,-79.64480341,,,
277,Long Branch Lane,,,Lexington,VA,24450,37.66585296,-79.64922323,,,
65,Plantation Lane,,,Lexington,VA,24450,37.66586605,-79.64141861,,,
3528,South Buffalo Road,,,Lexington,VA,24450,37.66587941,-79.6397748,,,
100,Long Branch Lane,,,Lexington,VA,24450,37.66610634,-79.64413011,,,
240,Long Branch Lane,,,Lexington,VA,24450,37.66611537,-79.64772944,,,
3503,South Buffalo Road,,,Lexington,VA,24450,37.66614834,-79.63856248,,,
74,Long Branch Lane,,,Lexington,VA,24450,37.66636384,-79.6422716,,,
85,Plantation Lane,,,Lexington,VA,24450,37.66644504,-79.64188034,,,
3500,South Buffalo Road,,,Lexington,VA,24450,37.66652504,-79.63921426,,,
16,Night Hawk Lane,,,Lexington,VA,24450,37.66665339,-79.64248708,,,
420,Long Branch Lane,,,Lexington,VA,24450,37.66735409,-79.65354369,,,
47,Night Hawk Lane,,,Lexington,VA,24450,37.66735665,-79.64375217,,,
3457,South Buffalo Road,,,Lexington,VA,24450,37.66736573,-79.63793488,,,
126,Plantation Lane,,,Lexington,VA,24450,37.6673859,-79.64286907,,,
55,Night Hawk Lane,,,Lexington,VA,24450,37.66772434,-79.64447443,,,
264,Long Branch Lane,,,Lexington,VA,24450,37.66785251,-79.64885018,,,
262,Long Branch Lane,,,Lexington,VA,24450,37.668009,-79.64830597,,,
108,Plantation Lane,,,Lexington,VA,24450,37.66807323,-79.64204321,,,
137,Night Hawk Lane,,,Lexington,VA,24450,37.66835844,-79.64598583,,,
3418,South Buffalo Road,,,Lexington,VA,24450,37.66841306,-79.63726769,,,
180,Plantation Lane,,,Lexington,VA,24450,37.66850266,-79.6433986,,,
186,Plantation Lane,,,Lexington,VA,24450,37.66871975,-79.64373719,,,
163,Night Hawk Lane,,,Lexington,VA,24450,37.66894188,-79.64662054,,,
3392,South Buffalo Road,,,Lexington,VA,24450,37.66899032,-79.63657147,,,
200,Plantation Lane,,,Lexington,VA,24450,37.66908839,-79.64343763,,,
3319,South Buffalo Road,,,Lexington,VA,24450,37.66975087,-79.63393964,,,
3293,South Buffalo Road,,,Lexington,VA,24450,37.67039011,-79.63354405,,,
3292,South Buffalo Road,,,Lexington,VA,24450,37.67089956,-79.63405587,,,
97,Rapps Mill Lane,,,Lexington,VA,24450,37.67103599,-79.63822681,,,
3255,South Buffalo Road,,,Lexington,VA,24450,37.67137262,-79.63266941,,,
