addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
106,Chessie Lane,,,Buena Vista,VA,24416,37.69798581,-79.40860892,,,
30,Orchard Lane,,,Buena Vista,VA,24416,37.69823723,-79.40648601,,,
64,Bountiful Lane,,,Buena Vista,VA,24416,37.69829336,-79.38544579,,,
113,Bountiful Lane,,,Buena Vista,VA,24416,37.6985255,-79.38436238,,,
60,Bountiful Lane,,,Buena Vista,VA,24416,37.69858173,-79.38636141,,,
50,Orchard Lane,,,Buena Vista,VA,24416,37.69861349,-79.40593931,,,
867,Glasgow Highway,,,Buena Vista,VA,24416,37.69877269,-79.38890462,,,
3,Orchard Lane,,,Buena Vista,VA,24416,37.69881109,-79.40751434,,,
886,Glasgow Highway,,,Buena Vista,VA,24416,37.69886246,-79.3901356,,,
845,Glasgow Highway,,,Buena Vista,VA,24416,37.6991686,-79.38830112,,,
868,Glasgow Highway,,,Buena Vista,VA,24416,37.69924184,-79.3895665,,,
709,River Road,,,Buena Vista,VA,24416,37.69926445,-79.4038641,,,
80,Orchard Lane,,,Buena Vista,VA,24416,37.69933927,-79.40526668,,,
889,River Road,,,Buena Vista,VA,24416,37.69937776,-79.40896189,,,
110,Rustling Leaves Lane,,,Buena Vista,VA,24416,37.69945914,-79.39853947,,,
91,Bountiful Lane,,,Buena Vista,VA,24416,37.69947064,-79.38351272,,,
815,Glasgow Highway,,,Buena Vista,VA,24416,37.69965125,-79.38739637,,,
727,River Road,,,Buena Vista,VA,24416,37.69986697,-79.40459262,,,
842,Glasgow Highway,,,Buena Vista,VA,24416,37.69994852,-79.38889467,,,
825,River Road,,,Buena Vista,VA,24416,37.70004681,-79.40720495,,,
465,River Road,,,Buena Vista,VA,24416,37.70008888,-79.39573648,,,
731,River Road,,,Buena Vista,VA,24416,37.70034152,-79.40539727,,,
822,Glasgow Highway,,,Buena Vista,VA,24416,37.70037914,-79.38842274,,,
471,River Road,,,Buena Vista,VA,24416,37.70055196,-79.3938699,,,
65,Maury Ridge Drive,,,Buena Vista,VA,24416,37.70072374,-79.3898141,,,
699,Glasgow Highway,,,Buena Vista,VA,24416,37.70078414,-79.38424243,,,
724,River Road,,,Buena Vista,VA,24416,37.70095459,-79.40336887,,,
742,River Road,,,Buena Vista,VA,24416,37.70108068,-79.40505729,,,
