addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
5159,West Midland Trail,,,Lexington,VA,24450,37.87800738,-79.56451635,,,
826,Saddlebrook Road,,,Lexington,VA,24450,37.8780234,-79.51722639,,,
120,Gilmer Creek Lane,,,Lexington,VA,24450,37.87806044,-79.50151511,,,
43,Rocky Field Place,,,Lexington,VA,24450,37.87816274,-79.56600543,,,
5207,West Midland Trail,,,Lexington,VA,24450,37.87825397,-79.56757269,,,
1134,Sycamore Valley Drive,,,Lexington,VA,24450,37.8783865,-79.5039143,,,
23,Rocky Field Place,,,Lexington,VA,24450,37.87851385,-79.56547295,,,
1042,Saddlebrook Road,,,Lexington,VA,24450,37.87857396,-79.52446627,,,
19,Rocky Field Place,,,Lexington,VA,24450,37.87859664,-79.56528197,,,
180,Gilmer Creek Lane,,,Lexington,VA,24450,37.8785999,-79.49894542,,,
85,Otway Trail,,,Lexington,VA,24450,37.87874822,-79.48706864,,,
37,Passamaquoddy Trail,,,Lexington,VA,24450,37.8787647,-79.49231612,,,
75,Mohlers Loop,,,Lexington,VA,24450,37.87876773,-79.50623329,,,
355,Hackens Road,,,Lexington,VA,24450,37.87877434,-79.49136234,,,
725,Chestnut Grove Trail,,,Lexington,VA,24450,37.87884158,-79.47827732,,,
5205,West Midland Trail,,,Lexington,VA,24450,37.87910026,-79.56550244,,,
22,Full Moon Lane,,,Lexington,VA,24450,37.87914584,-79.49045279,,,
5188,West Midland Trail,,,Lexington,VA,24450,37.87916174,-79.56412314,,,
40,Full Moon Lane,,,Lexington,VA,24450,37.87936669,-79.49096102,,,
92,Otway Trail,,,Lexington,VA,24450,37.87941491,-79.4865083,,,
475,Hackens Road,,,Lexington,VA,24450,37.87948673,-79.49527937,,,
395,Hackens Road,,,Lexington,VA,24450,37.87952466,-79.49205276,,,
1035,Saddlebrook Road,,,Lexington,VA,24450,37.87953905,-79.53057608,,,
26,Fox Meadow Lane,,,Lexington,VA,24450,37.87958694,-79.49279366,,,
876,Saddlebrook Road,,,Lexington,VA,24450,37.87962645,-79.52087927,,,
1196,White Rock Road,,,Lexington,VA,24450,37.87967774,-79.54750306,,,
139,Otway Trail,,,Lexington,VA,24450,37.87969866,-79.48808322,,,
683,Chestnut Grove Trail,,,Lexington,VA,24450,37.87974239,-79.4798936,,,
5231,West Midland Trail,,,Lexington,VA,24450,37.87983853,-79.56595005,,,
2095,White Rock Road,,,Lexington,VA,24450,37.88008058,-79.55839512,,,
425,Hackens Road,,,Lexington,VA,24450,37.88020137,-79.49255461,,,
5245,West Midland Trail,,,Lexington,VA,24450,37.8802367,-79.56604547,,,
123,Shake Rag Road,,,Lexington,VA,24450,37.88038705,-79.48431912,,,
2072,White Rock Road,,,Lexington,VA,24450,37.88044661,-79.55943356,,,
147,Mohlers Loop,,,Lexington,VA,24450,37.88047811,-79.50768409,,,
435,Hackens Road,,,Lexington,VA,24450,37.88058025,-79.49363734,,,
265,Bear Ridge Trail,,,Lexington,VA,24450,37.8809263,-79.53252616,,,
5347,West Midland Trail,,,Lexington,VA,24450,37.88101719,-79.57695694,,,
35,Gilmer Creek Lane,,,Lexington,VA,24450,37.881039,-79.50060646,,,
2077,White Rock Road,,,Lexington,VA,24450,37.88122815,-79.55828081,,,
100,Shake Rag Road,,,Lexington,VA,24450,37.88127208,-79.48246408,,,
152,Mohlers Loop,,,Lexington,VA,24450,37.88128271,-79.50668133,,,
422,Hackens Road,,,Lexington,VA,24450,37.88147909,-79.49342914,,,
515,Hackens Road,,,Lexington,VA,24450,37.88160342,-79.49576414,,,
504,Hackens Road,,,Lexington,VA,24450,37.88200955,-79.49360875,,,
201,Mohlers Loop,,,Lexington,VA,24450,37.88215383,-79.50874911,,,
104,Shake Rag Road,,,Lexington,VA,24450,37.88218774,-79.48290878,,,
206,Mohlers Loop,,,Lexington,VA,24450,37.88221829,-79.50734915,,,
10,Bear Trail,,,Lexington,VA,24450,37.88242359,-79.49462084,,,
255,Mohlers Loop,,,Lexington,VA,24450,37.88281449,-79.5089582,,,
424,Hackens Road,,,Lexington,VA,24450,37.88283065,-79.49183983,,,
