addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
981,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.66816066,-79.53058867,,,
4346,Plank Road,,,Natural Bridge,VA,24578,37.66856141,-79.57032355,,,
115,Short Hill Turnpike,,,Natural Bridge,VA,24578,37.66860378,-79.5827808,,,
4255,Plank Road,,,Natural Bridge,VA,24578,37.66892866,-79.56390963,,,
186,Short Hill Turnpike,,,Natural Bridge,VA,24578,37.66910724,-79.5817787,,,
4302,Plank Road,,,Natural Bridge,VA,24578,37.66912143,-79.56789579,,,
4205,Plank Road,,,Natural Bridge,VA,24578,37.66951685,-79.56192483,,,
4239,Plank Road,,,Natural Bridge,VA,24578,37.66960762,-79.56617874,,,
174,Oak Bank Drive,,,Natural Bridge,VA,24578,37.6708574,-79.5109113,,,
458,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67099557,-79.54706115,,,
32,Heritage View Lane,,,Natural Bridge,VA,24578,37.67147151,-79.5077956,,,
33,Heritage View Lane,,,Natural Bridge,VA,24578,37.6715496,-79.50819055,,,
225,Lackey Lane,,,Natural Bridge,VA,24578,37.671686,-79.53365194,,,
4162,Plank Road,,,Natural Bridge,VA,24578,37.67179107,-79.5654144,,,
7,Safari Lane,,,Natural Bridge,VA,24578,37.67207264,-79.50671198,,,
3955,Plank Road,,,Natural Bridge,VA,24578,37.6720838,-79.55909266,,,
559,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67242485,-79.54379747,,,
485,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67303112,-79.5448925,,,
456,Padgetts Hill Road,,B,Natural Bridge,VA,24578,37.67334446,-79.549313,,,
4076,Plank Road,,,Natural Bridge,VA,24578,37.67342606,-79.56402841,,,
456,Padgetts Hill Road,,A,Natural Bridge,VA,24578,37.67357812,-79.54952574,,,
475,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67392785,-79.54090266,,,
229,Safari Lane,,,Natural Bridge,VA,24578,37.67394201,-79.51189881,,,
422,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67401961,-79.54769362,,,
461,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67469415,-79.54636132,,,
4448,South Lee Highway,,,Natural Bridge,VA,24578,37.67469446,-79.50404871,,,
4150,Plank Road,,,Natural Bridge,VA,24578,37.67509621,-79.56899277,,,
382,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67544118,-79.55143748,,,
3924,Plank Road,,,Natural Bridge,VA,24578,37.67566898,-79.55885823,,,
369,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67576006,-79.53667685,,,
3984,Plank Road,,,Natural Bridge,VA,24578,37.67587608,-79.56112952,,,
4373,South Lee Highway,,,Natural Bridge,VA,24578,37.6759796,-79.50157987,,,
354,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67630923,-79.54715917,,,
4347,South Lee Highway,,,Natural Bridge,VA,24578,37.67662303,-79.50120312,,,
4331,South Lee Highway,,A,Natural Bridge,VA,24578,37.67662864,-79.50071932,,,
4331,South Lee Highway,,,Natural Bridge,VA,24578,37.67687126,-79.50053228,,,
346,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67704144,-79.54883591,,,
357,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67709914,-79.54554472,,,
150,Killdeer Lane,,,Natural Bridge,VA,24578,37.67786125,-79.50732406,,,
162,Killdeer Lane,,,Natural Bridge,VA,24578,37.67816497,-79.50708559,,,
55,Great Valley Lane,,,Natural Bridge,VA,24578,37.67830556,-79.51293372,,,
3773,Plank Road,,,Natural Bridge,VA,24578,37.67832788,-79.55690282,,,
20,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.67843836,-79.5004933,,,
4243,South Lee Highway,,,Natural Bridge,VA,24578,37.6787397,-79.49871049,,,
4268,South Lee Highway,,,Natural Bridge,VA,24578,37.67886105,-79.50025457,,,
4260,South Lee Highway,,,Natural Bridge,VA,24578,37.67904403,-79.50012952,,,
20,Kai Way,,,Natural Bridge,VA,24578,37.67918718,-79.50210526,,,
214,Killdeer Lane,,,Natural Bridge,VA,24578,37.67937233,-79.50869336,,,
55,Mesa Valley Lane,,,Natural Bridge,VA,24578,37.67952184,-79.51069938,,,
4248,South Lee Highway,,,Natural Bridge,VA,24578,37.67953119,-79.49998341,,,
239,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.67967304,-79.54667956,,,
50,Mesa Valley Lane,,,Natural Bridge,VA,24578,37.67967855,-79.51126656,,,
3768,Plank Road,,,Natural Bridge,VA,24578,37.67970249,-79.55740465,,,
16,Surrey Lane,,,Natural Bridge,VA,24578,37.67997904,-79.50131358,,,
60,Great Valley Lane,,,Natural Bridge,VA,24578,37.68019634,-79.51308475,,,
30,Surrey Lane,,,Natural Bridge,VA,24578,37.68025029,-79.50091636,,,
90,Great Valley Lane,,,Natural Bridge,VA,24578,37.6803207,-79.51400901,,,
4141,South Lee Highway,,,Natural Bridge,VA,24578,37.68036047,-79.49657816,,,
3746,Plank Road,,,Natural Bridge,VA,24578,37.68049099,-79.56034335,,,
136,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.68050785,-79.55074425,,,
9,Surrey Lane,,,Natural Bridge,VA,24578,37.68080744,-79.50180174,,,
4190,South Lee Highway,,,Natural Bridge,VA,24578,37.68085173,-79.49868451,,,
210,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.68108342,-79.50531725,,,
265,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.68114029,-79.50779693,,,
34,Victory Lane,,,Natural Bridge,VA,24578,37.68124638,-79.50243068,,,
4135,South Lee Highway,,,Natural Bridge,VA,24578,37.68135086,-79.49656331,,,
55,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.68138025,-79.54791522,,,
584,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.68141329,-79.51785727,,,
226,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.68154139,-79.50633734,,,
55,Sweet Spring Lane,,,Natural Bridge,VA,24578,37.68160775,-79.55880184,,,
294,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.6816544,-79.50894674,,,
189,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.68169507,-79.54671311,,,
181,Equus Loop,,,Natural Bridge,VA,24578,37.68182013,-79.49708436,,,
330,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.68202192,-79.51017179,,,
85,Victory Lane,,,Natural Bridge,VA,24578,37.68233247,-79.50368134,,,
100,Crosscountry Lane,,,Natural Bridge,VA,24578,37.68233338,-79.50176705,,,
175,Crosscountry Lane,,,Natural Bridge,VA,24578,37.68255271,-79.50471529,,,
4015,South Lee Highway,,,Natural Bridge,VA,24578,37.68269413,-79.49397736,,,
687,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.68271328,-79.52256796,,,
53,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.68271589,-79.55040279,,,
730,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.68297045,-79.51680643,,,
19,Padgetts Hill Road,,,Natural Bridge,VA,24578,37.68308904,-79.55315009,,,
240,Broad Creek Church Road,,,Natural Bridge,VA,24578,37.68315596,-79.5076226,,,
170,Crosscountry Lane,,,Natural Bridge,VA,24578,37.68316121,-79.50323854,,,
