addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
1518,Plank Road,,,Natural Bridge,VA,24578,37.71954656,-79.50673883,,,
1482,Plank Road,,,Natural Bridge,VA,24578,37.72048354,-79.50533931,,,
61,Annies Lane,,,Natural Bridge,VA,24578,37.72215813,-79.50043959,,,
70,Annies Lane,,,Natural Bridge,VA,24578,37.72263448,-79.50027807,,,
61,Burks Cabin Lane,,,Natural Bridge Station,VA,24579,37.55432022,-79.51522961,,,
47,Burks Cabin Lane,,,Natural Bridge Station,VA,24579,37.55471087,-79.51446693,,,
37,Burks Cabin Lane,,,Natural Bridge Station,VA,24579,37.55507573,-79.51447729,,,
5,Sleepy Hollow Lane,,,Natural Bridge Station,VA,24579,37.55682488,-79.5124543,,,
29,Sleepy Hollow Lane,,,Natural Bridge Station,VA,24579,37.55712832,-79.5132385,,,
481,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56143408,-79.52202523,,,
12,Log Chain Lane,,,Natural Bridge Station,VA,24579,37.56155213,-79.5104079,,,
102,Log Chain Lane,,,Natural Bridge Station,VA,24579,37.56220561,-79.51337404,,,
479,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56226263,-79.52329321,,,
141,Log Chain Lane,,,Natural Bridge Station,VA,24579,37.56252773,-79.51477378,,,
422,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56297054,-79.52242024,,,
672,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56337129,-79.50960475,,,
673,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56350908,-79.50895347,,,
662,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56364114,-79.50963108,,,
139,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56394155,-79.51555903,,,
351,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56435938,-79.52052071,,,
637,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56440368,-79.50909559,,,
341,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56463378,-79.52014888,,,
627,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56475379,-79.50897359,,,
323,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56477954,-79.51962081,,,
330,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56502327,-79.52043415,,,
305,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56546309,-79.51920439,,,
597,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56563374,-79.50943571,,,
589,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56591168,-79.50945505,,,
560,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56634459,-79.51041072,,,
137,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56679989,-79.51416232,,,
558,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.56682562,-79.49418352,,,
528,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56712407,-79.51053392,,,
242,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56714245,-79.51859253,,,
198,Hill Cemetery Lane,,,Natural Bridge Station,VA,24579,37.56761795,-79.49243553,,,
516,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56781201,-79.51063576,,,
236,Hill Cemetery Lane,,,Natural Bridge Station,VA,24579,37.56782175,-79.49090409,,,
200,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.5678843,-79.51798572,,,
106,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56823294,-79.5141412,,,
140,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56839119,-79.51532573,,,
811,Cave Mountain Lake Road,,,Natural Bridge Station,VA,24579,37.56841071,-79.54003516,,,
500,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.56848467,-79.51111454,,,
856,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.56854274,-79.48665831,,,
72,Clearwater Lodge Road,,,Natural Bridge Station,VA,24579,37.56888699,-79.51325203,,,
474,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.5690524,-79.510951,,,
776,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.56978075,-79.48852396,,,
716,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57011857,-79.49065542,,,
686,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57068142,-79.49164575,,,
402,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.57101008,-79.51124127,,,
370,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.57221511,-79.51099633,,,
564,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.5723039,-79.49524228,,,
351,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.57240656,-79.50736761,,,
350,Crow Hill Lane,,,Natural Bridge Station,VA,24579,37.57270277,-79.50359539,,,
334,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.57335036,-79.51069026,,,
552,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57339415,-79.49553924,,,
522,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57371115,-79.49731467,,,
532,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57396019,-79.49564488,,,
294,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.57433763,-79.5101984,,,
514,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57434446,-79.49582836,,,
506,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57456401,-79.4960089,,,
488,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57467814,-79.4969582,,,
266,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.57503222,-79.50983064,,,
472,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57504476,-79.49716706,,,
184,Cherry Tree Lane,,,Natural Bridge Station,VA,24579,37.57551641,-79.51566342,,,
240,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.57552519,-79.5097896,,,
446,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57586916,-79.49751582,,,
230,Hopper Creek Road,,,Natural Bridge Station,VA,24579,37.57608517,-79.5098001,,,
198,Crow Hill Lane,,,Natural Bridge Station,VA,24579,37.57685435,-79.50408682,,,
414,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.5769134,-79.49775448,,,
404,Petites Gap Road,,,Natural Bridge Station,VA,24579,37.57691875,-79.49801861,,,
203,Crow Hill Lane,,,Natural Bridge Station,VA,24579,37.57694135,-79.50299022,,,
