addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
543,Shafer Lane,,,Natural Bridge Station,VA,24579,37.61588739,-79.53690558,,,
535,James River Road,,,Natural Bridge Station,VA,24579,37.61604053,-79.48299403,,,
225,Greenlee Road,,,Natural Bridge Station,VA,24579,37.61636512,-79.49625287,,,
266,Gilmores Mill Road,,,Natural Bridge Station,VA,24579,37.61643214,-79.51485101,,,
45,Wilderness Lane,,,Natural Bridge Station,VA,24579,37.61644136,-79.47374891,,,
631,James River Road,,,Natural Bridge Station,VA,24579,37.61660008,-79.48083642,,,
4,Wilderness Lane,,,Natural Bridge Station,VA,24579,37.61663395,-79.47516375,,,
209,Greenlee Road,,,Natural Bridge Station,VA,24579,37.61737222,-79.49855045,,,
448,Shafer Lane,,,Natural Bridge Station,VA,24579,37.61746132,-79.53729725,,,
268,Greenlee Road,,,Natural Bridge Station,VA,24579,37.61752678,-79.4967407,,,
753,James River Road,,,Natural Bridge Station,VA,24579,37.6177125,-79.47775477,,,
187,Greenlee Road,,,Natural Bridge Station,VA,24579,37.61774545,-79.49961726,,,
199,Greenlee Road,,,Natural Bridge Station,VA,24579,37.61778685,-79.49897916,,,
187,Greenlee Road,,A,Natural Bridge Station,VA,24579,37.61779335,-79.49958179,,,
202,Gilmores Mill Road,,,Natural Bridge Station,VA,24579,37.61782122,-79.5150235,,,
187,Greenlee Road,,B,Natural Bridge Station,VA,24579,37.61783964,-79.49955141,,,
177,Greenlee Road,,,Natural Bridge Station,VA,24579,37.61787643,-79.49983853,,,
165,Greenlee Road,,,Natural Bridge Station,VA,24579,37.61810694,-79.50012953,,,
255,Greenlee Road,,,Natural Bridge Station,VA,24579,37.61813018,-79.49743134,,,
134,Natural Bridge School Road,,,Natural Bridge Station,VA,24579,37.6184176,-79.49865708,,,
132,Natural Bridge School Road,,,Natural Bridge Station,VA,24579,37.61844285,-79.49892293,,,
360,Shafer Lane,,,Natural Bridge Station,VA,24579,37.61846929,-79.54088388,,,
131,Natural Bridge School Road,,,Natural Bridge Station,VA,24579,37.61872479,-79.49827803,,,
809,James River Road,,,Natural Bridge Station,VA,24579,37.61882922,-79.47405923,,,
122,Natural Bridge School Road,,,Natural Bridge Station,VA,24579,37.61885212,-79.49883754,,,
140,Marl Lane,,,Natural Bridge Station,VA,24579,37.61897554,-79.53054745,,,
66,Beth Horon Drive,,,Natural Bridge Station,VA,24579,37.61916194,-79.50087896,,,
418,Shafer Lane,,,Natural Bridge Station,VA,24579,37.61924835,-79.53773473,,,
106,Natural Bridge School Road,,,Natural Bridge Station,VA,24579,37.61928112,-79.49894362,,,
21,Windemere Lane,,,Natural Bridge Station,VA,24579,37.61942199,-79.49783988,,,
37,Windemere Lane,,,Natural Bridge Station,VA,24579,37.61948001,-79.49721183,,,
71,Beth Horon Drive,,,Natural Bridge Station,VA,24579,37.61948139,-79.50123065,,,
103,Natural Bridge School Road,,,Natural Bridge Station,VA,24579,37.61949353,-79.49839048,,,
78,Beth Horon Drive,,,Natural Bridge Station,VA,24579,37.61951445,-79.50067906,,,
160,Greenlee Road,,,Natural Bridge Station,VA,24579,37.61953483,-79.5030464,,,
27,Windemere Lane,,,Natural Bridge Station,VA,24579,37.61956772,-79.4975964,,,
47,Beth Horon Drive,,,Natural Bridge Station,VA,24579,37.6196335,-79.50176348,,,
80,American Way,,,Natural Bridge Station,VA,24579,37.61963782,-79.49272557,,,
92,Natural Bridge School Road,,,Natural Bridge Station,VA,24579,37.61964624,-79.49897743,,,
21,Ballpark Lane,,,Natural Bridge Station,VA,24579,37.61966723,-79.49446686,,,
39,Beth Horon Drive,,,Natural Bridge Station,VA,24579,37.61967805,-79.50190383,,,
86,Beth Horon Drive,,,Natural Bridge Station,VA,24579,37.61968497,-79.5002123,,,
108,Beth Horon Drive,,,Natural Bridge Station,VA,24579,37.61969814,-79.49992487,,,
19,Ballpark Lane,,,Natural Bridge Station,VA,24579,37.61970648,-79.49436315,,,
