addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
745,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.63080954,-79.5024444,,,
30,Appaloosa Lane,,,Natural Bridge Station,VA,24579,37.63170826,-79.50330437,,,
700,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.63213192,-79.50266971,,,
593,Wert Faulkner Highway,,,Natural Bridge Station,VA,24579,37.63315019,-79.52546658,,,
466,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.63420855,-79.52733619,,,
680,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.63466203,-79.50312567,,,
581,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.63485193,-79.50024413,,,
414,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.63489628,-79.52711603,,,
596,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.63518473,-79.50081809,,,
18,Joshuas Way,,,Natural Bridge Station,VA,24579,37.63518546,-79.52580911,,,
38,Watts Lane,,,Natural Bridge Station,VA,24579,37.63519942,-79.52771518,,,
559,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.63522757,-79.49960692,,,
14,Watts Lane,,,Natural Bridge Station,VA,24579,37.63579706,-79.52738844,,,
385,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.63632811,-79.52644333,,,
67,Joshuas Way,,,Natural Bridge Station,VA,24579,37.63641812,-79.5250153,,,
493,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.63672073,-79.49788264,,,
8,Oriole Lane,,,Natural Bridge Station,VA,24579,37.63699134,-79.52670678,,,
102,Joshuas Way,,,Natural Bridge Station,VA,24579,37.63702322,-79.52462258,,,
370,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.63712258,-79.52727388,,,
482,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.63721557,-79.49817351,,,
363,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.63728848,-79.52680778,,,
356,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.63750109,-79.52742654,,,
357,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.63750306,-79.526859,,,
39,Oriole Lane,,,Natural Bridge Station,VA,24579,37.63768743,-79.52596297,,,
342,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.6378344,-79.52747685,,,
333,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.63821103,-79.52690225,,,
323,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.6384834,-79.52682972,,,
311,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.6387839,-79.5267945,,,
175,Joshuas Way,,,Natural Bridge Station,VA,24579,37.63899054,-79.52331147,,,
267,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.64013046,-79.52677739,,,
182,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.64024233,-79.5303525,,,
265,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.64024655,-79.52610766,,,
344,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.6403528,-79.49550269,,,
18,Petunia Lane,,,Natural Bridge Station,VA,24579,37.64037722,-79.52680116,,,
241,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.64073731,-79.52782093,,,
47,Petunia Lane,,,Natural Bridge Station,VA,24579,37.64074396,-79.52535771,,,
178,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.6408827,-79.53016049,,,
20,Petunia Lane,,,Natural Bridge Station,VA,24579,37.64112692,-79.5266062,,,
24,Meadowlark Lane,,,Natural Bridge Station,VA,24579,37.64143904,-79.52861882,,,
254,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.64145339,-79.49276896,,,
183,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.64149855,-79.5298042,,,
153,Buck Hill Road,,,Natural Bridge Station,VA,24579,37.64162268,-79.53079459,,,
48,Meadowlark Lane,,,Natural Bridge Station,VA,24579,37.64167062,-79.52783815,,,
111,Crawford Creek Lane,,,Natural Bridge Station,VA,24579,37.64227362,-79.49936785,,,
320,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.64234298,-79.49476341,,,
212,Stoner Hollow Road,,,Natural Bridge Station,VA,24579,37.6426919,-79.49258273,,,
133,Crawford Creek Lane,,,Natural Bridge Station,VA,24579,37.64271849,-79.49644439,,,
112,Bunting Lane,,,Natural Bridge Station,VA,24579,37.64283717,-79.5250157,,,
175,Crawford Creek Lane,,,Natural Bridge Station,VA,24579,37.64296801,-79.49834838,,,
