addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
144,South Bottom Road,,,Raphine,VA,24472,37.9116449,-79.18418024,,,
6,Eden Way Lane,,,Raphine,VA,24472,37.91192031,-79.24800321,,,
233,Shawnee Hill Trail,,,Raphine,VA,24472,37.91204245,-79.20949082,,,
1670,Sterrett Road,,,Raphine,VA,24472,37.91214451,-79.2926917,,,
1039,Ridge Road,,,Raphine,VA,24472,37.9125544,-79.26910617,,,
7681,North Lee Highway,,,Raphine,VA,24472,37.91257802,-79.22702712,,,
205,Shadow Ridge Lane,,,Raphine,VA,24472,37.91266351,-79.21528873,,,
96,Holbrook Lane,,,Raphine,VA,24472,37.91306592,-79.28771681,,,
264,Steeles Fort Road,,,Raphine,VA,24472,37.91307645,-79.23296867,,,
95,Holbrook Lane,,,Raphine,VA,24472,37.91309845,-79.28700956,,,
227,Steeles Fort Road,,A,Raphine,VA,24472,37.91312168,-79.23447374,,,
227,Steeles Fort Road,,B,Raphine,VA,24472,37.91314204,-79.23445377,,,
7745,North Lee Highway,,,Raphine,VA,24472,37.91322828,-79.22433387,,,
7749,North Lee Highway,,,Raphine,VA,24472,37.91327625,-79.2229909,,,
44,Wachovian Way,,,Raphine,VA,24472,37.91345401,-79.22266093,,,
372,Moores Trail,,,Raphine,VA,24472,37.91362455,-79.24879029,,,
315,Harrison Drive,,,Raphine,VA,24472,37.91363258,-79.27773656,,,
51,Hillcrest View Road,,,Raphine,VA,24472,37.91364389,-79.26376907,,,
28,Wachovian Way,,,Raphine,VA,24472,37.91372671,-79.22233107,,,
284,Steeles Fort Road,,,Raphine,VA,24472,37.91373647,-79.23173499,,,
26,Luties Mill Lane,,,Raphine,VA,24472,37.91379409,-79.23393227,,,
7900,North Lee Highway,,,Raphine,VA,24472,37.91386192,-79.21819135,,,
1727,Sterrett Road,,,Raphine,VA,24472,37.91394208,-79.29359755,,,
12,Wachovian Way,,,Raphine,VA,24472,37.91405264,-79.22183053,,,
271,Steeles Fort Road,,,Raphine,VA,24472,37.91405611,-79.23330477,,,
1767,Sterrett Road,,,Raphine,VA,24472,37.91408384,-79.29561927,,,
35,Luties Mill Lane,,,Raphine,VA,24472,37.91418821,-79.23404144,,,
258,Harrison Drive,,,Raphine,VA,24472,37.91420351,-79.27653634,,,
7827,North Lee Highway,,,Raphine,VA,24472,37.91429384,-79.22126639,,,
38,Luties Mill Lane,,,Raphine,VA,24472,37.91443261,-79.23361657,,,
76,South Bottom Road,,,Raphine,VA,24472,37.91443329,-79.19152983,,,
48,South Bottom Road,,,Raphine,VA,24472,37.91444501,-79.19210486,,,
7845,North Lee Highway,,,Raphine,VA,24472,37.91458193,-79.22074996,,,
35,South Bottom Road,,,Raphine,VA,24472,37.91480735,-79.19312127,,,
35,Goose Creek Road,,,Raphine,VA,24472,37.91488525,-79.29250469,,,
53,Goose Creek Road,,,Raphine,VA,24472,37.91489313,-79.29158009,,,
66,South Bottom Road,,,Raphine,VA,24472,37.9148959,-79.19170173,,,
332,Steeles Fort Road,,,Raphine,VA,24472,37.91494735,-79.23104246,,,
31,South Bottom Road,,,Raphine,VA,24472,37.91495502,-79.19368071,,,
45,Parkside Drive,,,Raphine,VA,24472,37.91509863,-79.2337183,,,
87,Goose Creek Road,,,Raphine,VA,24472,37.91519926,-79.29057376,,,
35,Parkside Drive,,,Raphine,VA,24472,37.91521073,-79.23329254,,,
7954,North Lee Highway,,,Raphine,VA,24472,37.91523029,-79.2168744,,,
240,Goose Creek Road,,,Raphine,VA,24472,37.91523388,-79.28317563,,,
1212,Ridge Road,,,Raphine,VA,24472,37.91524226,-79.26222134,,,
88,South Bottom Road,,,Raphine,VA,24472,37.91524926,-79.19097519,,,
365,Harrison Drive,,,Raphine,VA,24472,37.91525765,-79.27793216,,,
140,South Bottom Road,,,Raphine,VA,24472,37.91543317,-79.1885968,,,
16,Ayrshire Circle,,,Raphine,VA,24472,37.91547455,-79.21649443,,,
104,South Bottom Road,,,Raphine,VA,24472,37.91553714,-79.19047343,,,
360,Steeles Fort Road,,,Raphine,VA,24472,37.91559767,-79.23008,,,
25,Parkside Drive,,,Raphine,VA,24472,37.91561601,-79.23314849,,,
325,Steeles Fort Road,,,Raphine,VA,24472,37.91563945,-79.23195998,,,
21,Ayrshire Circle,,,Raphine,VA,24472,37.91566254,-79.21609124,,,
7725,North Lee Highway,,,Raphine,VA,24472,37.91566737,-79.22688145,,,
201,East View Lane,,,Raphine,VA,24472,37.91567608,-79.25861366,,,
118,South Bottom Road,,,Raphine,VA,24472,37.91575537,-79.19008718,,,
35,Ayrshire Circle,,,Raphine,VA,24472,37.9158535,-79.21571237,,,
1790,Sterrett Road,,,Raphine,VA,24472,37.91590188,-79.29410623,,,
126,South Bottom Road,,,Raphine,VA,24472,37.91595975,-79.18979913,,,
15,Parkside Drive,,,Raphine,VA,24472,37.91596069,-79.23291897,,,
398,Steeles Fort Road,,,Raphine,VA,24472,37.91613728,-79.22940552,,,
332,East View Lane,,,Raphine,VA,24472,37.91614683,-79.25347038,,,
110,Waterfront Drive,,,Raphine,VA,24472,37.91629453,-79.23274913,,,
245,East View Lane,,,Raphine,VA,24472,37.91643261,-79.25773125,,,
114,Waterfront Drive,,,Raphine,VA,24472,37.91658268,-79.23241501,,,
191,Goose Creek Road,,,Raphine,VA,24472,37.91666928,-79.28712189,,,
1870,Sterrett Road,,,Raphine,VA,24472,37.91683364,-79.29590911,,,
128,Waterfront Drive,,,Raphine,VA,24472,37.91686671,-79.23218132,,,
422,Steeles Fort Road,,,Raphine,VA,24472,37.91699266,-79.22964237,,,
579,Davis Road,,,Raphine,VA,24472,37.91706712,-79.28127135,,,
134,Waterfront Drive,,,Raphine,VA,24472,37.91715426,-79.2319386,,,
1913,Sterrett Road,,,Raphine,VA,24472,37.91720026,-79.30014841,,,
13,Shawnee Hill Trail,,,Raphine,VA,24472,37.91720029,-79.21339924,,,
145,Countryside Lane,,,Raphine,VA,24472,37.91721797,-79.20842503,,,
31,Good View Drive,,,Raphine,VA,24472,37.91723983,-79.25920835,,,
409,Steeles Fort Road,,,Raphine,VA,24472,37.91730938,-79.23094183,,,
430,Steeles Fort Road,,,Raphine,VA,24472,37.91743235,-79.22934556,,,
8029,North Lee Highway,,,Raphine,VA,24472,37.91743953,-79.21508769,,,
135,Waterfront Drive,,,Raphine,VA,24472,37.91747844,-79.23262954,,,
152,Waterfront Drive,,,Raphine,VA,24472,37.91748036,-79.2317915,,,
65,Good View Drive,,,Raphine,VA,24472,37.9174989,-79.25647907,,,
64,Countryside Lane,,,Raphine,VA,24472,37.91769107,-79.20976471,,,
158,Waterfront Drive,,,Raphine,VA,24472,37.91772712,-79.23154268,,,
8104,North Lee Highway,,,Raphine,VA,24472,37.91783682,-79.21171857,,,
441,Steeles Fort Road,,1,Raphine,VA,24472,37.91796475,-79.23020411,,,
441,Steeles Fort Road,,5,Raphine,VA,24472,37.91799238,-79.23023013,,,
441,Steeles Fort Road,,2,Raphine,VA,24472,37.91800085,-79.23020045,,,
450,Steeles Fort Road,,,Raphine,VA,24472,37.91803851,-79.22872505,,,
441,Steeles Fort Road,,3,Raphine,VA,24472,37.91803937,-79.23019481,,,
441,Steeles Fort Road,,6,Raphine,VA,24472,37.91806772,-79.23023799,,,
441,Steeles Fort Road,,4,Raphine,VA,24472,37.91808488,-79.23019339,,,
8112,North Lee Highway,,,Raphine,VA,24472,37.91809643,-79.21156378,,,
1926,Sterrett Road,,,Raphine,VA,24472,37.9181158,-79.29788932,,,
106,Merrick Lane,,,Raphine,VA,24472,37.918152,-79.27570544,,,
279,Goose Creek Road,,,Raphine,VA,24472,37.91825737,-79.28551462,,,
8114,North Lee Highway,,,Raphine,VA,24472,37.91830754,-79.21126617,,,
133,Hartness Hill Road,,,Raphine,VA,24472,37.91833932,-79.27090383,,,
103,Davis Road,,,Raphine,VA,24472,37.91834077,-79.2672423,,,
1279,Ridge Road,,,Raphine,VA,24472,37.91834528,-79.26392767,,,
481,Steeles Fort Road,,7,Raphine,VA,24472,37.91840391,-79.23017753,,,
457,Steeles Fort Road,,11,Raphine,VA,24472,37.91843553,-79.23021536,,,
457,Steeles Fort Road,,8,Raphine,VA,24472,37.9184587,-79.23018208,,,
525,East View Lane,,,Raphine,VA,24472,37.91848953,-79.2509255,,,
481,Steeles Fort Road,,9,Raphine,VA,24472,37.9184979,-79.23018246,,,
8132,North Lee Highway,,,Raphine,VA,24472,37.91850036,-79.21098445,,,
617,Davis Road,,,Raphine,VA,24472,37.91851237,-79.28287103,,,
457,Steeles Fort Road,,12,Raphine,VA,24472,37.91851917,-79.23021831,,,
457,Steeles Fort Road,,10,Raphine,VA,24472,37.91854001,-79.23018287,,,
380,East View Lane,,,Raphine,VA,24472,37.91858729,-79.25373641,,,
1954,Sterrett Road,,,Raphine,VA,24472,37.91862891,-79.29866385,,,
512,East View Lane,,,Raphine,VA,24472,37.91864113,-79.25187469,,,
13,Strider Lane,,,Raphine,VA,24472,37.91864955,-79.21058298,,,
6,Strider Lane,,,Raphine,VA,24472,37.91868581,-79.2109605,,,
404,Interstate Drive,,,Raphine,VA,24472,37.91868953,-79.2451734,,,
11,Strider Lane,,,Raphine,VA,24472,37.91870139,-79.21064257,,,
481,Steeles Fort Road,,A31,Raphine,VA,24472,37.91875839,-79.23046415,,,
481,Steeles Fort Road,,A32,Raphine,VA,24472,37.91876303,-79.23043132,,,
481,Steeles Fort Road,,A34,Raphine,VA,24472,37.91876457,-79.23036946,,,
481,Steeles Fort Road,,A33,Raphine,VA,24472,37.91876531,-79.23040048,,,
481,Steeles Fort Road,,A22,Raphine,VA,24472,37.91880524,-79.23043513,,,
481,Steeles Fort Road,,A21,Raphine,VA,24472,37.91880611,-79.23047093,,,
481,Steeles Fort Road,,A23,Raphine,VA,24472,37.9188083,-79.23041018,,,
481,Steeles Fort Road,,A24,Raphine,VA,24472,37.91881218,-79.23037734,,,
1981,Sterrett Road,,,Raphine,VA,24472,37.91884282,-79.2995781,,,
15,Strider Lane,,,Raphine,VA,24472,37.91885442,-79.21047318,,,
481,Steeles Fort Road,,A12,Raphine,VA,24472,37.91889256,-79.23045343,,,
481,Steeles Fort Road,,A13,Raphine,VA,24472,37.91889414,-79.23042057,,,
481,Steeles Fort Road,,A11,Raphine,VA,24472,37.91889415,-79.2304803,,,
481,Steeles Fort Road,,A14,Raphine,VA,24472,37.9188989,-79.2303856,,,
559,Davis Road,,,Raphine,VA,24472,37.91891987,-79.28047381,,,
481,Steeles Fort Road,Office,,Raphine,VA,24472,37.91892804,-79.23039066,,,
1288,Ridge Road,,,Raphine,VA,24472,37.91894623,-79.26205292,,,
29,Strider Lane,,,Raphine,VA,24472,37.91895242,-79.21033953,,,
481,Steeles Fort Road,,B31,Raphine,VA,24472,37.91902927,-79.23050938,,,
481,Steeles Fort Road,,B32,Raphine,VA,24472,37.91903334,-79.2304719,,,
481,Steeles Fort Road,,B33,Raphine,VA,24472,37.91903641,-79.23043602,,,
481,Steeles Fort Road,,B34,Raphine,VA,24472,37.91903863,-79.23040517,,,
43,Strider Lane,,7,Raphine,VA,24472,37.91903957,-79.21018167,,,
8210,North Lee Highway,,,Raphine,VA,24472,37.91905228,-79.20795499,,,
43,Strider Lane,,6,Raphine,VA,24472,37.91905426,-79.21016437,,,
43,Strider Lane,,5,Raphine,VA,24472,37.91906896,-79.21014513,,,
43,Strider Lane,,4,Raphine,VA,24472,37.91908211,-79.21012781,,,
323,Goose Creek Road,,,Raphine,VA,24472,37.91909353,-79.28379034,,,
43,Strider Lane,,3,Raphine,VA,24472,37.91909606,-79.21010566,,,
481,Steeles Fort Road,,B21,Raphine,VA,24472,37.91909962,-79.23051547,,,
481,Steeles Fort Road,,B23,Raphine,VA,24472,37.91910032,-79.23044709,,,
481,Steeles Fort Road,,B22,Raphine,VA,24472,37.91910115,-79.23048185,,,
481,Steeles Fort Road,,B24,Raphine,VA,24472,37.91910497,-79.23041323,,,
43,Strider Lane,,2,Raphine,VA,24472,37.91910922,-79.21008641,,,
43,Strider Lane,,1,Raphine,VA,24472,37.9191247,-79.21006524,,,
480,Steeles Fort Road,,,Raphine,VA,24472,37.91914773,-79.22975802,,,
481,Steeles Fort Road,,B11,Raphine,VA,24472,37.91914828,-79.2305116,,,
481,Steeles Fort Road,,B12,Raphine,VA,24472,37.91915063,-79.23047861,,,
481,Steeles Fort Road,,B13,Raphine,VA,24472,37.91915528,-79.2304529,,,
481,Steeles Fort Road,Stop,,Raphine,VA,24472,37.91915927,-79.2304193,,,
80,Good View Drive,,,Raphine,VA,24472,37.91917611,-79.25647084,,,
41,Ben Lane,,,Raphine,VA,24472,37.91922195,-79.28491299,,,
136,Hoernlein Trail,,,Raphine,VA,24472,37.91929375,-79.20213225,,,
245,Waterfront Drive,,,Raphine,VA,24472,37.91937891,-79.23232809,,,
8147,North Lee Highway,,,Raphine,VA,24472,37.91941434,-79.21171235,,,
470,East View Lane,,,Raphine,VA,24472,37.91951578,-79.25258177,,,
8198,North Lee Highway,,,Raphine,VA,24472,37.91957635,-79.20949592,,,
8244,North Lee Highway,,,Raphine,VA,24472,37.91984124,-79.20719306,,,
52,Ben Lane,,,Raphine,VA,24472,37.91984575,-79.28521528,,,
275,Davis Road,,,Raphine,VA,24472,37.91990292,-79.27009092,,,
504,Steeles Fort Road,,,Raphine,VA,24472,37.91990687,-79.22984726,,,
1333,Ridge Road,,,Raphine,VA,24472,37.91996738,-79.26373073,,,
2081,Sterrett Road,,,Raphine,VA,24472,37.91997041,-79.3028757,,,
166,Hoernlein Trail,,,Raphine,VA,24472,37.92003288,-79.20172549,,,
517,Steeles Fort Road,,,Raphine,VA,24472,37.9200957,-79.23063351,,,
8292,North Lee Highway,,,Raphine,VA,24472,37.92009873,-79.20632371,,,
8183,North Lee Highway,,,Raphine,VA,24472,37.92010745,-79.21074311,,,
115,Hoernlein Trail,,,Raphine,VA,24472,37.92027468,-79.20298405,,,
8234,North Lee Highway,,,Raphine,VA,24472,37.92035537,-79.20846354,,,
125,Hoernlein Trail,,,Raphine,VA,24472,37.92037773,-79.20251061,,,
435,East View Lane,,,Raphine,VA,24472,37.92048455,-79.25347854,,,
1357,Ridge Road,,,Raphine,VA,24472,37.92050157,-79.26300666,,,
8211,North Lee Highway,,,Raphine,VA,24472,37.92054404,-79.20980892,,,
531,Steeles Fort Road,,,Raphine,VA,24472,37.9206102,-79.23058451,,,
1304,Ridge Road,,,Raphine,VA,24472,37.92072351,-79.25560014,,,
539,Steeles Fort Road,,,Raphine,VA,24472,37.92085132,-79.23045389,,,
1371,Ridge Road,,,Raphine,VA,24472,37.9208699,-79.26254108,,,
80,Willow Lake Loop,,B,Raphine,VA,24472,37.920917,-79.23259061,,,
372,Davis Road,,,Raphine,VA,24472,37.92092531,-79.27469065,,,
80,Willow Lake Loop,,A,Raphine,VA,24472,37.92095657,-79.23252123,,,
247,Spreading Oak Lane,,,Raphine,VA,24472,37.92104316,-79.23421047,,,
16,Lake View Drive,,,Raphine,VA,24472,37.92110068,-79.22916214,,,
28,Lake View Drive,,,Raphine,VA,24472,37.92111156,-79.22864189,,,
4,Lake View Drive,,,Raphine,VA,24472,37.92115277,-79.22961411,,,
36,Lake View Drive,,,Raphine,VA,24472,37.92115655,-79.22811184,,,
425,Goose Creek Road,,,Raphine,VA,24472,37.92116756,-79.28347812,,,
12,Acorn Lane,,,Raphine,VA,24472,37.9211785,-79.23404514,,,
222,Spreading Oak Lane,,,Raphine,VA,24472,37.92126509,-79.2350496,,,
2113,Sterrett Road,,,Raphine,VA,24472,37.92128057,-79.30335728,,,
5,Acorn Lane,,,Raphine,VA,24472,37.92133966,-79.23471312,,,
58,Willow Lake Loop,,,Raphine,VA,24472,37.92134791,-79.23196894,,,
20,Acorn Lane,,,Raphine,VA,24472,37.92137465,-79.23385327,,,
1393,Ridge Road,,,Raphine,VA,24472,37.92141206,-79.26226518,,,
9,Acorn Lane,,,Raphine,VA,24472,37.92142358,-79.23459337,,,
