addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
120,White Feather Lane,,,Raphine,VA,24472,37.95154614,-79.35180656,,,
298,Dutch Hollow Road,,,Raphine,VA,24472,37.95179229,-79.3575522,,,
1208,New Providence Road,,,Raphine,VA,24472,37.95182939,-79.3025008,,,
332,Gibbs Run Lane,,,Raphine,VA,24472,37.95200279,-79.27230718,,,
1203,New Providence Road,,,Raphine,VA,24472,37.95217659,-79.30371624,,,
345,Gibbs Run Lane,,,Raphine,VA,24472,37.95246091,-79.27184842,,,
18,Castaway Lane,,,Raphine,VA,24472,37.95262337,-79.2786423,,,
3882,Brownsburg Turnpike,,,Raphine,VA,24472,37.95266014,-79.30140452,,,
385,Gibbs Run Lane,,,Raphine,VA,24472,37.95299953,-79.27163879,,,
3911,Brownsburg Turnpike,,,Raphine,VA,24472,37.9533995,-79.30241342,,,
211,Pisgah Road,,,Raphine,VA,24472,37.95350553,-79.31729025,,,
50,Castaway Lane,,,Raphine,VA,24472,37.95363634,-79.27847001,,,
485,Pisgah Road,,,Raphine,VA,24472,37.95472613,-79.32221128,,,
462,Gibbs Run Lane,,,Raphine,VA,24472,37.95491339,-79.2696655,,,
168,Beard Road,,,Raphine,VA,24472,37.95509222,-79.29852712,,,
245,Pisgah Road,,,Raphine,VA,24472,37.95518427,-79.31603843,,,
198,Spring Run Lane,,,Raphine,VA,24472,37.95526519,-79.27862231,,,
250,Tupelo Lane,,,Raphine,VA,24472,37.95529334,-79.28825099,,,
220,Beard Road,,,Raphine,VA,24472,37.95534464,-79.29778469,,,
451,Dutch Hollow Road,,,Raphine,VA,24472,37.95580639,-79.35759665,,,
42,Ashbel Loop,,,Raphine,VA,24472,37.95594429,-79.30016342,,,
108,Ashbel Loop,,,Raphine,VA,24472,37.95597587,-79.30275454,,,
657,Pisgah Road,,,Raphine,VA,24472,37.95606834,-79.33318362,,,
124,Indian Cove Lane,,,Raphine,VA,24472,37.95620092,-79.35921813,,,
301,Indian Cove Lane,,,Raphine,VA,24472,37.95629613,-79.36586279,,,
467,Pisgah Road,,,Raphine,VA,24472,37.95637389,-79.32092084,,,
471,Dutch Hollow Road,,,Raphine,VA,24472,37.95648915,-79.35759189,,,
40,Innisbrook Lane,,,Raphine,VA,24472,37.95665842,-79.27981403,,,
142,Innisbrook Lane,,,Raphine,VA,24472,37.95671719,-79.28233888,,,
585,Gibbs Run Lane,,,Raphine,VA,24472,37.95804932,-79.27120352,,,
440,Pisgah Road,,,Raphine,VA,24472,37.95937836,-79.31782813,,,
624,Dutch Hollow Road,,,Raphine,VA,24472,37.95985582,-79.35590171,,,
4216,Brownsburg Turnpike,,,Raphine,VA,24472,37.96028955,-79.30722518,,,
466,Beard Road,,,Raphine,VA,24472,37.96052832,-79.28810462,,,
26,Briar Patch Lane,,,Raphine,VA,24472,37.96074437,-79.32150665,,,
688,Dutch Hollow Road,,,Raphine,VA,24472,37.96098841,-79.35254789,,,
398,Indian Cove Lane,,,Raphine,VA,24472,37.9610217,-79.36734465,,,
633,Dutch Hollow Road,,,Raphine,VA,24472,37.96140458,-79.35702974,,,
76,Briar Patch Lane,,,Raphine,VA,24472,37.96198544,-79.3204923,,,
715,Gibbs Run Lane,,,Raphine,VA,24472,37.96228454,-79.2684125,,,
4310,Brownsburg Turnpike,,,Raphine,VA,24472,37.96254196,-79.30599249,,,
473,Beard Road,,,Raphine,VA,24472,37.96254417,-79.29363246,,,
329,Chapel Lane,,,Raphine,VA,24472,37.9628762,-79.3327274,,,
370,Spring Run Lane,,,Raphine,VA,24472,37.96305622,-79.27948663,,,
743,Pisgah Road,,,Raphine,VA,24472,37.96312523,-79.32551803,,,
712,Pisgah Road,,,Raphine,VA,24472,37.96323203,-79.32276551,,,
760,Pisgah Road,,,Raphine,VA,24472,37.96423717,-79.32416303,,,
4400,Brownsburg Turnpike,,,Raphine,VA,24472,37.96491538,-79.30506065,,,
788,Pisgah Road,,,Raphine,VA,24472,37.96515971,-79.32303293,,,
841,Pisgah Road,,,Raphine,VA,24472,37.96521773,-79.32667891,,,
875,Pisgah Road,,,Raphine,VA,24472,37.96526463,-79.32786348,,,
802,Dutch Hollow Road,,,Raphine,VA,24472,37.96527199,-79.35386612,,,
169,Branch Lane,,,Raphine,VA,24472,37.96566202,-79.36023958,,,
826,Dutch Hollow Road,,,Raphine,VA,24472,37.96601729,-79.35356617,,,
4444,Brownsburg Turnpike,,,Raphine,VA,24472,37.96661806,-79.30582554,,,
168,Chapel Lane,,,Raphine,VA,24472,37.96714917,-79.33425947,,,
67,Meadowood Lane,,,Raphine,VA,24472,37.96769511,-79.28932679,,,
66,Meadowood Lane,,,Raphine,VA,24472,37.96779712,-79.28979492,,,
128,Branch Lane,,,Raphine,VA,24472,37.96782531,-79.35886961,,,
970,Dutch Hollow Road,,,Raphine,VA,24472,37.96788681,-79.35003098,,,
4470,Brownsburg Turnpike,,,Raphine,VA,24472,37.96792838,-79.298617,,,
47,Meadowood Lane,,,Raphine,VA,24472,37.96867449,-79.28944882,,,
994,Pisgah Road,,,Raphine,VA,24472,37.96867502,-79.33018646,,,
864,Pisgah Road,,,Raphine,VA,24472,37.96881303,-79.32767863,,,
991,Dutch Hollow Road,,,Raphine,VA,24472,37.96969667,-79.35398459,,,
4553,Brownsburg Turnpike,,,Raphine,VA,24472,37.970744,-79.31259905,,,
11,Chapel Lane,,,Raphine,VA,24472,37.97086632,-79.33182806,,,
4565,Brownsburg Turnpike,,,Raphine,VA,24472,37.97104416,-79.30650189,,,
1052,Dutch Hollow Road,,,Raphine,VA,24472,37.97117947,-79.3550781,,,
1122,Pisgah Road,,,Raphine,VA,24472,37.97159925,-79.33019629,,,
1055,Dutch Hollow Road,,,Raphine,VA,24472,37.97271468,-79.35597028,,,
1208,Pisgah Road,,,Raphine,VA,24472,37.9728304,-79.32652087,,,
1130,Dutch Hollow Road,,,Raphine,VA,24472,37.97302586,-79.35402784,,,
1236,Dutch Hollow Road,,,Raphine,VA,24472,37.97454216,-79.35091203,,,
700,Branch Lane,,,Raphine,VA,24472,37.97565564,-79.36371183,,,
701,Branch Lane,,,Raphine,VA,24472,37.97576254,-79.36412737,,,
165,High Rock Road,,,Raphine,VA,24472,37.9767449,-79.31424559,,,
1261,Dutch Hollow Road,,,Raphine,VA,24472,37.97686246,-79.35300101,,,
4952,Brownsburg Turnpike,,,Raphine,VA,24472,37.97732192,-79.30568823,,,
253,Pisgah Branch Lane,,,Raphine,VA,24472,37.97738959,-79.33880999,,,
1478,Pisgah Road,,,Raphine,VA,24472,37.9782372,-79.3287095,,,
216,Pisgah Branch Lane,,,Raphine,VA,24472,37.97894628,-79.33817695,,,
1344,Dutch Hollow Road,,,Raphine,VA,24472,37.97896807,-79.35274484,,,
1355,Pisgah Road,,,Raphine,VA,24472,37.97963939,-79.33148877,,,
495,High Rock Road,,,Raphine,VA,24472,37.97969486,-79.32379654,,,
1404,Dutch Hollow Road,,,Raphine,VA,24472,37.97980205,-79.34785184,,,
1447,Pisgah Road,,,Raphine,VA,24472,37.98078705,-79.32915283,,,
50,Pisgah Branch Lane,,,Raphine,VA,24472,37.98121999,-79.3350886,,,
1451,Dutch Hollow Road,,,Raphine,VA,24472,37.98274548,-79.35833816,,,
1570,Dutch Hollow Road,,,Raphine,VA,24472,37.98458684,-79.34957566,,,
1453,Dutch Hollow Road,,,Raphine,VA,24472,37.98523684,-79.35510158,,,
715,High Rock Road,,,Raphine,VA,24472,37.98568763,-79.33370993,,,
1664,Dutch Hollow Road,,,Raphine,VA,24472,37.98662149,-79.3490979,,,
1665,Dutch Hollow Road,,,Raphine,VA,24472,37.98908481,-79.35356196,,,
742,High Rock Road,,,Raphine,VA,24472,37.9896212,-79.32491934,,,
1826,Dutch Hollow Road,,,Raphine,VA,24472,37.98995875,-79.34276242,,,
753,High Rock Road,,,Raphine,VA,24472,37.99015083,-79.33089066,,,
1825,Dutch Hollow Road,,,Raphine,VA,24472,37.99123353,-79.34707251,,,
1928,Dutch Hollow Road,,,Raphine,VA,24472,37.994559,-79.34727447,,,
1064,High Rock Road,,,Raphine,VA,24472,37.99544602,-79.33324127,,,
2035,Dutch Hollow Road,,,Raphine,VA,24472,37.99562451,-79.34916335,,,
2056,Dutch Hollow Road,,,Raphine,VA,24472,37.99565881,-79.34660891,,,
2085,Dutch Hollow Road,,,Raphine,VA,24472,37.99687583,-79.34680831,,,
1308,High Rock Road,,,Raphine,VA,24472,37.99912123,-79.3410391,,,
102,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.85222536,-79.46399479,,,
138,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.85314421,-79.46370845,,,
156,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.85381011,-79.46441987,,,
145,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.85399976,-79.47045849,,,
204,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.85517901,-79.46524009,,,
37,Whiteside Road,,,Rockbridge Baths,VA,24473,37.8566496,-79.42578011,,,
1650,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.85754511,-79.41967799,,,
181,Whiteside Road,,,Rockbridge Baths,VA,24473,37.85866592,-79.42999868,,,
460,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.85896115,-79.45815974,,,
550,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.86083295,-79.4562698,,,
22,Lindsay Lane,,,Rockbridge Baths,VA,24473,37.86088648,-79.42098222,,,
550,Adair Hill Drive,,A,Rockbridge Baths,VA,24473,37.86119637,-79.45688509,,,
599,Lindsay Lane,,,Rockbridge Baths,VA,24473,37.86135726,-79.40248114,,,
189,Lindsay Lane,,,Rockbridge Baths,VA,24473,37.86163976,-79.41725925,,,
73,Lindsay Lane,,,Rockbridge Baths,VA,24473,37.86190025,-79.41904802,,,
1810,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.86310584,-79.41946478,,,
559,Lindsay Lane,,,Rockbridge Baths,VA,24473,37.86327812,-79.40410086,,,
620,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.8637693,-79.45573268,,,
621,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.86388345,-79.45651911,,,
465,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.86517909,-79.46224547,,,
60,Norton Way,,,Rockbridge Baths,VA,24473,37.8653291,-79.41836524,,,
80,Norton Way,,,Rockbridge Baths,VA,24473,37.86549397,-79.4174324,,,
667,Whiteside Road,,,Rockbridge Baths,VA,24473,37.86556645,-79.44552742,,,
240,Norton Way,,,Rockbridge Baths,VA,24473,37.86601221,-79.41245817,,,
190,Juniper Hollow,,,Rockbridge Baths,VA,24473,37.86613414,-79.43004823,,,
640,Whiteside Road,,,Rockbridge Baths,VA,24473,37.86641117,-79.44267232,,,
1992,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.86698929,-79.42290557,,,
2023,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.86717619,-79.42402952,,,
1950,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.86725945,-79.41997679,,,
791,Whiteside Road,,,Rockbridge Baths,VA,24473,37.86726975,-79.44821625,,,
761,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.86739137,-79.45719237,,,
155,Norton Way,,,Rockbridge Baths,VA,24473,37.86740107,-79.41623264,,,
842,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.86804106,-79.45430546,,,
852,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.86872722,-79.45450517,,,
890,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.86957418,-79.45349326,,,
2385,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.87005619,-79.43807548,,,
2277,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.87061447,-79.43076649,,,
2248,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.87061483,-79.42949048,,,
1040,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.87113901,-79.45208142,,,
760,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.8717923,-79.4719995,,,
1005,Adair Hill Drive,,,Rockbridge Baths,VA,24473,37.87276425,-79.45609036,,,
1029,Whiteside Road,,,Rockbridge Baths,VA,24473,37.87374046,-79.45120547,,,
2441,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.87389701,-79.43416262,,,
2473,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.8747113,-79.43562262,,,
753,Maple Swamp Road,,,Rockbridge Baths,VA,24473,37.87475373,-79.45253304,,,
2224,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.87476745,-79.42691028,,,
889,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.8761337,-79.47003977,,,
2631,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.8762299,-79.44074886,,,
2630,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.87731255,-79.43939101,,,
945,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.8777013,-79.46955934,,,
980,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.87797006,-79.46826116,,,
3525,Maury River Road,,,Rockbridge Baths,VA,24473,37.87802626,-79.38251327,,,
3525,Maury River Road,,A,Rockbridge Baths,VA,24473,37.87812904,-79.38241913,,,
3563,Maury River Road,,,Rockbridge Baths,VA,24473,37.87903482,-79.38173857,,,
1120,Maple Swamp Road,,,Rockbridge Baths,VA,24473,37.87910305,-79.44553748,,,
1280,Maple Swamp Road,,,Rockbridge Baths,VA,24473,37.87956509,-79.44707586,,,
2638,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.87960978,-79.4367108,,,
1188,Maple Swamp Road,,,Rockbridge Baths,VA,24473,37.87985549,-79.44307682,,,
1027,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.88008278,-79.47055032,,,
3628,Maury River Road,,,Rockbridge Baths,VA,24473,37.88022863,-79.37988327,,,
1045,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.88058872,-79.46930479,,,
3670,Maury River Road,,,Rockbridge Baths,VA,24473,37.88095133,-79.3812516,,,
35,Cove Lane,,,Rockbridge Baths,VA,24473,37.88124927,-79.46882754,,,
358,Terrell Drive,,,Rockbridge Baths,VA,24473,37.88152924,-79.39086926,,,
10,Cove Lane,,,Rockbridge Baths,VA,24473,37.88190808,-79.46781245,,,
1141,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.8823821,-79.46697877,,,
3789,Maury River Road,,,Rockbridge Baths,VA,24473,37.88245994,-79.38410859,,,
3795,Maury River Road,,,Rockbridge Baths,VA,24473,37.8828186,-79.38483805,,,
2852,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.88287506,-79.43861604,,,
1178,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.8829842,-79.46534144,,,
1225,Maple Swamp Road,,,Rockbridge Baths,VA,24473,37.88302066,-79.44070197,,,
23,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88319076,-79.38386008,,,
300,Wind River Drive,,,Rockbridge Baths,VA,24473,37.88319257,-79.39713056,,,
90,Belle Meade Lane,,,Rockbridge Baths,VA,24473,37.88319363,-79.44809323,,,
26,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88327391,-79.38293768,,,
1161,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.88341828,-79.46625992,,,
31,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88350605,-79.38371008,,,
30,Belle Meade Lane,,,Rockbridge Baths,VA,24473,37.8835151,-79.44486948,,,
70,Cove Lane,,,Rockbridge Baths,VA,24473,37.88353183,-79.46885571,,,
3855,Maury River Road,,,Rockbridge Baths,VA,24473,37.88354295,-79.38654566,,,
46,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88378697,-79.38295156,,,
47,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88399517,-79.38353584,,,
535,Unity Drive,,,Rockbridge Baths,VA,24473,37.88400092,-79.41744485,,,
200,Belle Meade Lane,,,Rockbridge Baths,VA,24473,37.88405886,-79.45144489,,,
66,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88409478,-79.38255608,,,
53,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88417786,-79.383387,,,
110,Gibraltar Forge Drive,,,Rockbridge Baths,VA,24473,37.8841968,-79.3942439,,,
100,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88439706,-79.38158135,,,
110,Belle Meade Lane,,,Rockbridge Baths,VA,24473,37.88440682,-79.44823616,,,
140,Gibraltar Forge Drive,,,Rockbridge Baths,VA,24473,37.88441285,-79.39225267,,,
122,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.8844448,-79.38083859,,,
65,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88446057,-79.38304464,,,
1237,Fredericksburg Road,,,Rockbridge Baths,VA,24473,37.88463618,-79.465279,,,
160,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88465983,-79.37947402,,,
250,Brownsburg Turnpike,,,Rockbridge Baths,VA,24473,37.88472282,-79.37510653,,,
3955,Maury River Road,,,Rockbridge Baths,VA,24473,37.88484053,-79.39091941,,,
