addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
105,Wildwood Road,,,Rockbridge Baths,VA,24473,37.90172317,-79.44631087,,,
110,Meadow Lane,,,Rockbridge Baths,VA,24473,37.901784,-79.42437679,,,
262,Wades Road,,,Rockbridge Baths,VA,24473,37.90190212,-79.36851512,,,
125,Anderson Farm Road,,,Rockbridge Baths,VA,24473,37.90190793,-79.38967765,,,
263,Maury Hills Drive,,,Rockbridge Baths,VA,24473,37.9020645,-79.42536137,,,
358,McElwee Road,,,Rockbridge Baths,VA,24473,37.90225487,-79.36354934,,,
263,Farmhouse Road,,,Rockbridge Baths,VA,24473,37.90237542,-79.43417912,,,
216,Maury Hills Drive,,,Rockbridge Baths,VA,24473,37.90271673,-79.42737721,,,
360,McElwee Road,,,Rockbridge Baths,VA,24473,37.90274507,-79.36365322,,,
217,Maury Hills Drive,,,Rockbridge Baths,VA,24473,37.90276771,-79.42573382,,,
4899,Maury River Road,,,Rockbridge Baths,VA,24473,37.90281432,-79.41204937,,,
85,Meadow Lane,,,Rockbridge Baths,VA,24473,37.9028687,-79.42122837,,,
441,Wades Road,,,Rockbridge Baths,VA,24473,37.90288147,-79.37455723,,,
29,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.90289434,-79.41275084,,,
205,Wildwood Road,,,Rockbridge Baths,VA,24473,37.90290465,-79.45055175,,,
20,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.90296602,-79.41231194,,,
37,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.90296624,-79.41294656,,,
179,Wildwood Road,,,Rockbridge Baths,VA,24473,37.9030199,-79.44813039,,,
10,Anderson Farm Road,,,Rockbridge Baths,VA,24473,37.90304615,-79.37897102,,,
48,Wildwood Road,,,Rockbridge Baths,VA,24473,37.90318948,-79.44339744,,,
46,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.90334959,-79.41302208,,,
48,Meadow Lane,,,Rockbridge Baths,VA,24473,37.90335843,-79.42275796,,,
59,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.90337702,-79.41354424,,,
4079,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.90343608,-79.41800756,,,
193,Maury Hills Drive,,,Rockbridge Baths,VA,24473,37.90355888,-79.42553162,,,
4091,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.90359583,-79.41824509,,,
46,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.90361456,-79.41118411,,,
58,Anderson Farm Road,,,Rockbridge Baths,VA,24473,37.90363733,-79.38061579,,,
550,Farmhouse Road,,,Rockbridge Baths,VA,24473,37.90366253,-79.44228869,,,
4101,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.90379573,-79.41848444,,,
4934,Maury River Road,,,Rockbridge Baths,VA,24473,37.90396984,-79.41214362,,,
95,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.90397843,-79.41468135,,,
287,Wildwood Road,,,Rockbridge Baths,VA,24473,37.90409797,-79.45133238,,,
86,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.90411415,-79.41411773,,,
105,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.90414901,-79.41482046,,,
4936,Maury River Road,,,Rockbridge Baths,VA,24473,37.90420942,-79.41260894,,,
5143,Maury River Road,,,Rockbridge Baths,VA,24473,37.90439079,-79.42012959,,,
115,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.9044439,-79.41558496,,,
15,Maury Hills Drive,,,Rockbridge Baths,VA,24473,37.90444558,-79.42073224,,,
4129,Turkey Hill Road,,,Rockbridge Baths,VA,24473,37.90452186,-79.41917237,,,
85,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.9046141,-79.4102798,,,
125,Rick Mast Loop,,,Rockbridge Baths,VA,24473,37.90464255,-79.4161249,,,
200,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.90489948,-79.35258477,,,
90,Maury Hills Drive,,,Rockbridge Baths,VA,24473,37.90493852,-79.42537926,,,
130,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.90494724,-79.40794025,,,
5146,Maury River Road,,,Rockbridge Baths,VA,24473,37.90496398,-79.41978193,,,
5024,Maury River Road,,,Rockbridge Baths,VA,24473,37.90528273,-79.41511237,,,
159,Anderson Farm Road,,,Rockbridge Baths,VA,24473,37.90531317,-79.38346621,,,
5172,Maury River Road,,,Rockbridge Baths,VA,24473,37.90535646,-79.42055759,,,
16,McCurdy Lane,,,Rockbridge Baths,VA,24473,37.9056157,-79.41647111,,,
73,McCurdy Lane,,,Rockbridge Baths,VA,24473,37.90578176,-79.41833286,,,
462,Farmhouse Road,,,Rockbridge Baths,VA,24473,37.905944,-79.44119517,,,
5,Sandy Lane,,,Rockbridge Baths,VA,24473,37.90596512,-79.38302373,,,
150,Anderson Farm Road,,,Rockbridge Baths,VA,24473,37.90599457,-79.37878311,,,
99,McCurdy Lane,,,Rockbridge Baths,VA,24473,37.9060037,-79.41932546,,,
5238,Maury River Road,,,Rockbridge Baths,VA,24473,37.90608978,-79.42144639,,,
134,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.90613122,-79.35526257,,,
134,Dry Hollow Road,,A,Rockbridge Baths,VA,24473,37.90631701,-79.35594767,,,
188,Davis Hill Drive,,,Rockbridge Baths,VA,24473,37.90645676,-79.37199036,,,
45,Sandy Lane,,,Rockbridge Baths,VA,24473,37.90649298,-79.38287429,,,
180,Farmhouse Road,,,Rockbridge Baths,VA,24473,37.90649679,-79.43064289,,,
137,McCurdy Lane,,,Rockbridge Baths,VA,24473,37.9066346,-79.42045898,,,
310,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.90676567,-79.40104147,,,
5271,Maury River Road,,,Rockbridge Baths,VA,24473,37.9069187,-79.42300727,,,
