addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
10,Old Mill Lane,,,Rockbridge Baths,VA,24473,37.92333572,-79.37841986,,,
35,Christy Lane,,,Rockbridge Baths,VA,24473,37.92342603,-79.37392727,,,
348,East Field Road,,,Rockbridge Baths,VA,24473,37.9235622,-79.37547301,,,
375,Indian Bottom Lane,,,Rockbridge Baths,VA,24473,37.92366466,-79.40426119,,,
405,Indian Bottom Lane,,,Rockbridge Baths,VA,24473,37.9241102,-79.40507495,,,
390,East Field Road,,,Rockbridge Baths,VA,24473,37.92442709,-79.37379325,,,
425,Indian Bottom Lane,,,Rockbridge Baths,VA,24473,37.92449179,-79.40604642,,,
390,Indian Bottom Lane,,,Rockbridge Baths,VA,24473,37.92493646,-79.40492498,,,
1195,McElwee Road,,,Rockbridge Baths,VA,24473,37.92497717,-79.357522,,,
455,Indian Bottom Lane,,,Rockbridge Baths,VA,24473,37.92534134,-79.4056206,,,
1254,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.92537256,-79.32682793,,,
22,Lanvale Lane,,,Rockbridge Baths,VA,24473,37.92581137,-79.37290207,,,
1330,McElwee Road,,,Rockbridge Baths,VA,24473,37.92583114,-79.34531644,,,
13,Lanvale Lane,,,Rockbridge Baths,VA,24473,37.92588377,-79.37262231,,,
1396,McElwee Road,,,Rockbridge Baths,VA,24473,37.92590058,-79.3408508,,,
9,Lanvale Lane,,,Rockbridge Baths,VA,24473,37.9259838,-79.3724849,,,
443,East Field Road,,,Rockbridge Baths,VA,24473,37.92602277,-79.3735777,,,
100,Wyshville Farm Lane,,,Rockbridge Baths,VA,24473,37.92643666,-79.38898872,,,
385,East Field Road,,,Rockbridge Baths,VA,24473,37.92712067,-79.37755015,,,
85,Wyshville Farm Lane,,,Rockbridge Baths,VA,24473,37.92725385,-79.38929187,,,
29,Academy Alley,,,Rockbridge Baths,VA,24473,37.92725775,-79.32131855,,,
31,Academy Alley,,,Rockbridge Baths,VA,24473,37.92741487,-79.32124081,,,
1397,McElwee Road,,,Rockbridge Baths,VA,24473,37.92756292,-79.34751036,,,
1338,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.9277611,-79.32763022,,,
59,Academy Alley,,,Rockbridge Baths,VA,24473,37.92823434,-79.32128567,,,
8,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.92855625,-79.31934624,,,
11,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.92867414,-79.31961693,,,
1403,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.928676,-79.32863248,,,
1374,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.92874366,-79.3274487,,,
1235,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.92911756,-79.38893469,,,
14,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.92911985,-79.31954138,,,
6190,Maury River Road,,,Rockbridge Baths,VA,24473,37.92919939,-79.44061983,,,
22,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.92928523,-79.32015952,,,
1492,McElwee Road,,,Rockbridge Baths,VA,24473,37.92930148,-79.34316002,,,
28,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.92939376,-79.31955892,,,
615,East Field Road,,,Rockbridge Baths,VA,24473,37.92951742,-79.37363392,,,
59,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.92959464,-79.32186776,,,
6192,Maury River Road,,,Rockbridge Baths,VA,24473,37.92962396,-79.44000911,,,
1416,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.92967324,-79.32647442,,,
44,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.92985635,-79.31993127,,,
1530,McElwee Road,,,Rockbridge Baths,VA,24473,37.93000391,-79.3420521,,,
1456,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.93054132,-79.32584659,,,
1486,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.93097083,-79.32491393,,,
1501,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.9315403,-79.32470711,,,
1517,Dry Hollow Road,,,Rockbridge Baths,VA,24473,37.93169184,-79.32430355,,,
1090,East Field Road,,,Rockbridge Baths,VA,24473,37.93172002,-79.36276419,,,
1381,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.93177651,-79.3874534,,,
6220,Maury River Road,,,Rockbridge Baths,VA,24473,37.9318561,-79.43978757,,,
68,Foxglove Lane,,,Rockbridge Baths,VA,24473,37.93240351,-79.39223188,,,
65,Flat Rock Lane,,,Rockbridge Baths,VA,24473,37.93252623,-79.44065948,,,
45,Flat Rock Lane,,,Rockbridge Baths,VA,24473,37.93291124,-79.44147839,,,
25,Flat Rock Lane,,,Rockbridge Baths,VA,24473,37.93298958,-79.44215196,,,
320,Foxglove Lane,,,Rockbridge Baths,VA,24473,37.93327469,-79.3974568,,,
342,Bellevue Lane,,,Rockbridge Baths,VA,24473,37.93351019,-79.34478772,,,
396,Bellevue Lane,,,Rockbridge Baths,VA,24473,37.93372841,-79.34233264,,,
1493,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.93454982,-79.38510943,,,
1446,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.93489486,-79.37896372,,,
278,Bellevue Lane,,,Rockbridge Baths,VA,24473,37.93506492,-79.34622638,,,
325,Bellevue Lane,,,Rockbridge Baths,VA,24473,37.93528326,-79.3446054,,,
1083,East Field Road,,,Rockbridge Baths,VA,24473,37.93640561,-79.36007424,,,
152,Bellevue Lane,,,Rockbridge Baths,VA,24473,37.93655593,-79.35064182,,,
2092,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.93994696,-79.37617805,,,
1742,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.94081673,-79.38276667,,,
1629,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.94236281,-79.38568751,,,
1848,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.94301858,-79.37218754,,,
1223,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.94305007,-79.35538217,,,
1230,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.94350766,-79.3549487,,,
1798,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.94372529,-79.36937111,,,
1896,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.94482432,-79.38489133,,,
6,Water Lilly Lane,,,Rockbridge Baths,VA,24473,37.94549513,-79.38455312,,,
20,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.94678769,-79.38516969,,,
117,Water Lilly Lane,,,Rockbridge Baths,VA,24473,37.94815155,-79.38249501,,,
1770,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.94837809,-79.37194465,,,
1518,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.9485218,-79.36168894,,,
1590,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.94901758,-79.36564052,,,
1514,Hays Creek Road,,,Rockbridge Baths,VA,24473,37.94919983,-79.35975272,,,
204,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.950502,-79.3906463,,,
239,Water Lilly Lane,,,Rockbridge Baths,VA,24473,37.95133555,-79.38137802,,,
285,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95152667,-79.39534696,,,
255,Water Lilly Lane,,,Rockbridge Baths,VA,24473,37.95172622,-79.38064128,,,
2165,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.95260734,-79.38617289,,,
377,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95264511,-79.39546418,,,
471,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95511207,-79.39978426,,,
2275,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.95519638,-79.38463612,,,
2317,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.95626367,-79.38489802,,,
468,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.9564346,-79.39693792,,,
65,Ermas Lane,,,Rockbridge Baths,VA,24473,37.95654958,-79.38239737,,,
620,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95754847,-79.40044251,,,
45,Ermas Lane,,,Rockbridge Baths,VA,24473,37.95804827,-79.38327787,,,
538,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95805075,-79.39802136,,,
686,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95872016,-79.40143991,,,
905,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95877016,-79.41269017,,,
935,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95883183,-79.41308586,,,
941,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95915227,-79.41418608,,,
910,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95931902,-79.41235867,,,
945,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95934428,-79.41351884,,,
12,Abby Road,,,Rockbridge Baths,VA,24473,37.95939614,-79.40568465,,,
947,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95945004,-79.41348298,,,
950,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95947772,-79.4132254,,,
985,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.95996703,-79.4133948,,,
28,Abby Road,,,Rockbridge Baths,VA,24473,37.96011198,-79.4044107,,,
67,Abby Road,,,Rockbridge Baths,VA,24473,37.96024643,-79.40307735,,,
996,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.96040396,-79.41289398,,,
84,Kelso Gap Road,,,Rockbridge Baths,VA,24473,37.96041341,-79.40797526,,,
995,Jump Mountain Road,,,Rockbridge Baths,VA,24473,37.96045276,-79.41332811,,,
59,Jump View Lane,,,Rockbridge Baths,VA,24473,37.96073677,-79.38209647,,,
140,Abby Road,,,Rockbridge Baths,VA,24473,37.96088589,-79.40235893,,,
2488,Walkers Creek Road,,,Rockbridge Baths,VA,24473,37.96116079,-79.38353082,,,
101,Archery Lane,,,Rockbridge Baths,VA,24473,37.96138151,-79.38787097,,,
105,Archery Lane,,,Rockbridge Baths,VA,24473,37.96164692,-79.38830652,,,
200,Kelso Gap Road,,,Rockbridge Baths,VA,24473,37.96183308,-79.41194323,,,
223,Jump View Lane,,,Rockbridge Baths,VA,24473,37.96227912,-79.37730216,,,
398,Kelso Gap Road,,,Rockbridge Baths,VA,24473,37.96341408,-79.41715034,,,
