addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
7199,South River Road,,,Vesuvius,VA,24483,37.90506184,-79.19884833,,,
800,Tye River Turnpike,,,Vesuvius,VA,24483,37.90508809,-79.19653129,,,
25,East Avenue,,,Vesuvius,VA,24483,37.90512784,-79.19747624,,,
819,Tye River Turnpike,,,Vesuvius,VA,24483,37.90513452,-79.19564347,,,
21,East Avenue,,,Vesuvius,VA,24483,37.90523851,-79.19737295,,,
813,Tye River Turnpike,,,Vesuvius,VA,24483,37.90525943,-79.1959691,,,
26,Barn Lane,,A,Vesuvius,VA,24483,37.90527904,-79.19458879,,,
26,Barn Lane,,D,Vesuvius,VA,24483,37.90529948,-79.19463742,,,
7211,South River Road,,,Vesuvius,VA,24483,37.90531202,-79.19849288,,,
26,Barn Lane,,B,Vesuvius,VA,24483,37.90535921,-79.19453044,,,
26,Barn Lane,,C,Vesuvius,VA,24483,37.90537963,-79.19458294,,,
28,East Avenue,,,Vesuvius,VA,24483,37.9054085,-79.1978586,,,
797,Tye River Turnpike,,,Vesuvius,VA,24483,37.90543661,-79.19639246,,,
7215,South River Road,,,Vesuvius,VA,24483,37.90545519,-79.1984964,,,
115,Melody Lane,,,Vesuvius,VA,24483,37.90551129,-79.19087804,,,
180,Woodland Drive,,,Vesuvius,VA,24483,37.90566643,-79.18618707,,,
773,Tye River Turnpike,,,Vesuvius,VA,24483,37.90578125,-79.19708155,,,
7229,South River Road,,,Vesuvius,VA,24483,37.90585588,-79.19833947,,,
28,Tye Pine Avenue,,,Vesuvius,VA,24483,37.90594511,-79.19599951,,,
763,Tye River Turnpike,,,Vesuvius,VA,24483,37.90604856,-79.19714772,,,
53,Tye Pine Avenue,,,Vesuvius,VA,24483,37.90635603,-79.19578508,,,
7253,South River Road,,,Vesuvius,VA,24483,37.90638572,-79.19776478,,,
7255,South River Road,,,Vesuvius,VA,24483,37.90645162,-79.19772621,,,
8,Cashmill Place,,,Vesuvius,VA,24483,37.90672605,-79.1963979,,,
18,Cashmill Place,,,Vesuvius,VA,24483,37.90691287,-79.1960686,,,
88,Tye Pine Avenue,,,Vesuvius,VA,24483,37.90695702,-79.19482863,,,
708,Tye River Turnpike,,,Vesuvius,VA,24483,37.90765425,-79.19695727,,,
50,Cashmill Place,,,Vesuvius,VA,24483,37.90777042,-79.19549499,,,
671,Tye River Turnpike,,,Vesuvius,VA,24483,37.90845954,-79.1957963,,,
143,Ball Diamond Trail,,,Vesuvius,VA,24483,37.9091402,-79.1911467,,,
635,Tye River Turnpike,,,Vesuvius,VA,24483,37.90969021,-79.19600284,,,
618,Tye River Turnpike,,,Vesuvius,VA,24483,37.91012189,-79.19662798,,,
614,Tye River Turnpike,,,Vesuvius,VA,24483,37.91026495,-79.19682896,,,
612,Tye River Turnpike,,,Vesuvius,VA,24483,37.91027667,-79.19641574,,,
607,Tye River Turnpike,,,Vesuvius,VA,24483,37.9102841,-79.19609739,,,
40,Ball Diamond Trail,,,Vesuvius,VA,24483,37.91047364,-79.19428914,,,
598,Tye River Turnpike,,,Vesuvius,VA,24483,37.9106566,-79.19621486,,,
591,Tye River Turnpike,,,Vesuvius,VA,24483,37.91068475,-79.19571927,,,
577,Tye River Turnpike,,,Vesuvius,VA,24483,37.9108629,-79.19549151,,,
563,Tye River Turnpike,,,Vesuvius,VA,24483,37.9110282,-79.19509028,,,
584,Tye River Turnpike,,,Vesuvius,VA,24483,37.91103135,-79.195932,,,
16,Ball Diamond Trail,,,Vesuvius,VA,24483,37.91120049,-79.19442758,,,
9,Ball Diamond Trail,,,Vesuvius,VA,24483,37.91140838,-79.19396749,,,
560,Tye River Turnpike,,,Vesuvius,VA,24483,37.91148293,-79.19507856,,,
523,Tye River Turnpike,,,Vesuvius,VA,24483,37.91196099,-79.19396469,,,
