addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
649,Borden Grant Trail,,,Buena Vista,VA,24416,37.8015627,-79.34979734,,,
1577,Stoney Run Road,,,Buena Vista,VA,24416,37.8015904,-79.32159102,,,
124,Whites Gap Road,,,Buena Vista,VA,24416,37.80162399,-79.31475833,,,
2312,Mountain View Road,,,Buena Vista,VA,24416,37.80168448,-79.34930006,,,
704,Borden Grant Trail,,,Buena Vista,VA,24416,37.80180185,-79.34683219,,,
720,Borden Grant Trail,,,Buena Vista,VA,24416,37.80211396,-79.34628234,,,
1692,South River Road,,,Buena Vista,VA,24416,37.80212296,-79.33024629,,,
188,Chip Lane,,,Buena Vista,VA,24416,37.80212507,-79.31174236,,,
56,Sage Lane,,,Buena Vista,VA,24416,37.80220138,-79.32823197,,,
728,Borden Grant Trail,,,Buena Vista,VA,24416,37.8022821,-79.34606173,,,
39,Chip Lane,,,Buena Vista,VA,24416,37.80235718,-79.31339007,,,
189,Chip Lane,,,Buena Vista,VA,24416,37.80247963,-79.31148918,,,
28,Tuckahoe Way,,,Buena Vista,VA,24416,37.80248691,-79.31651082,,,
738,Borden Grant Trail,,,Buena Vista,VA,24416,37.8025089,-79.34578346,,,
23,Tuckahoe Way,,,Buena Vista,VA,24416,37.8025765,-79.31601462,,,
1710,South River Road,,,Buena Vista,VA,24416,37.80259903,-79.32975818,,,
748,Borden Grant Trail,,,Buena Vista,VA,24416,37.80272575,-79.34553296,,,
24,Tuckahoe Way,,,Buena Vista,VA,24416,37.80275939,-79.31647806,,,
756,Borden Grant Trail,,,Buena Vista,VA,24416,37.80292776,-79.34531784,,,
1800,South River Road,,,Buena Vista,VA,24416,37.80292868,-79.32650541,,,
1624,Stoney Run Road,,,Buena Vista,VA,24416,37.80293657,-79.31906721,,,
1860,South River Road,,,Buena Vista,VA,24416,37.80303858,-79.32512847,,,
766,Borden Grant Trail,,,Buena Vista,VA,24416,37.80316148,-79.34512744,,,
615,Borden Grant Trail,,,Buena Vista,VA,24416,37.80316633,-79.35669234,,,
780,Borden Grant Trail,,,Buena Vista,VA,24416,37.80357209,-79.344737,,,
794,Borden Grant Trail,,,Buena Vista,VA,24416,37.80383479,-79.34451286,,,
1846,South River Road,,,Buena Vista,VA,24416,37.80394667,-79.32515589,,,
1866,South River Road,,,Buena Vista,VA,24416,37.80403676,-79.32445083,,,
812,Borden Grant Trail,,,Buena Vista,VA,24416,37.80408123,-79.34072454,,,
25,Raggedy Edge Lane,,,Buena Vista,VA,24416,37.80410827,-79.32258336,,,
39,Raggedy Edge Lane,,,Buena Vista,VA,24416,37.80413142,-79.3223626,,,
810,Borden Grant Trail,,,Buena Vista,VA,24416,37.80417679,-79.34420013,,,
30,Commissary Lane,,,Buena Vista,VA,24416,37.80420637,-79.31904239,,,
1725,Stoney Run Road,,,Buena Vista,VA,24416,37.80426017,-79.3173959,,,
1892,South River Road,,,Buena Vista,VA,24416,37.80431058,-79.3236863,,,
33,Commissary Lane,,,Buena Vista,VA,24416,37.80436499,-79.31841238,,,
