addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
8267,South Lee Highway,,,Buchanan,VA,24066,37.60931883,-79.59607328,,,
8235,South Lee Highway,,,Buchanan,VA,24066,37.60973775,-79.59153507,,,
8282,South Lee Highway,,,Buchanan,VA,24066,37.6100625,-79.59664548,,,
5,Springfield Lane,,,Buchanan,VA,24066,37.61025598,-79.59565486,,,
8284,South Lee Highway,,,Buchanan,VA,24066,37.61052363,-79.59715925,,,
25,Springfield Lane,,,Buchanan,VA,24066,37.61067548,-79.59448743,,,
8143,South Lee Highway,,,Buchanan,VA,24066,37.61111975,-79.59203292,,,
45,Springfield Lane,,,Buchanan,VA,24066,37.61114995,-79.59375546,,,
8150,South Lee Highway,,,Buchanan,VA,24066,37.61134063,-79.59267046,,,
8099,South Lee Highway,,,Buchanan,VA,24066,37.61159483,-79.58938994,,,
8072,South Lee Highway,,,Buchanan,VA,24066,37.61312554,-79.5910916,,,
8049,South Lee Highway,,,Buchanan,VA,24066,37.61352913,-79.59011479,,,
7873,South Lee Highway,,,Buchanan,VA,24066,37.61514035,-79.58746923,,,
24,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61685201,-79.60683273,,,
24,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61687212,-79.60683305,,,
8,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61729808,-79.60779892,,,
8,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61730882,-79.60779409,,,
38,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61779843,-79.60633318,,,
21,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61781441,-79.60731462,,,
38,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61782202,-79.60633559,,,
21,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61786923,-79.60728167,,,
66,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61809034,-79.60584404,,,
66,Dorseys Knoll Lane,,,Buchanan,VA,24066,37.61813324,-79.60581674,,,
12,Well Drill Lane,,,Buchanan,VA,24066,37.61824545,-79.60835742,,,
32,Well Drill Lane,,,Buchanan,VA,24066,37.61825711,-79.60897338,,,
32,Well Drill Lane,,,Buchanan,VA,24066,37.61827181,-79.6088766,,,
14,Well Drill Lane,,,Buchanan,VA,24066,37.61827913,-79.60832771,,,
56,Well Drill Lane,,,Buchanan,VA,24066,37.61831409,-79.60935433,,,
6553,Plank Road,,,Buchanan,VA,24066,37.61835934,-79.60697564,,,
6553,Plank Road,,,Buchanan,VA,24066,37.61837852,-79.60696392,,,
56,Well Drill Lane,,,Buchanan,VA,24066,37.61855574,-79.60983792,,,
7801,South Lee Highway,,,Buchanan,VA,24066,37.61971667,-79.58572502,,,
7769,South Lee Highway,,,Buchanan,VA,24066,37.62068465,-79.58531714,,,
92,County Line Road,,,Buchanan,VA,24066,37.62073501,-79.61023318,,,
92,County Line Road,,,Buchanan,VA,24066,37.62076436,-79.61027939,,,
6425,Plank Road,,,Buchanan,VA,24066,37.62103722,-79.60399487,,,
6425,Plank Road,,,Buchanan,VA,24066,37.62107108,-79.60400024,,,
7761,South Lee Highway,,,Buchanan,VA,24066,37.62150425,-79.58406895,,,
108,Arrowhead Lane,,,Buchanan,VA,24066,37.62258189,-79.58343028,,,
197,Farmview Lane,,,Buchanan,VA,24066,37.62277223,-79.59648039,,,
197,Farmview Lane,,,Buchanan,VA,24066,37.62281043,-79.59646933,,,
305,County Line Road,,,Buchanan,VA,24066,37.62358812,-79.61929381,,,
28,Farmview Lane,,,Buchanan,VA,24066,37.62360143,-79.5988834,,,
128,County Line Road,,,Buchanan,VA,24066,37.62361355,-79.61928213,,,
83,Arrowhead Lane,,,Buchanan,VA,24066,37.62364224,-79.58250922,,,
6264,Plank Road,,,Buchanan,VA,24066,37.62615948,-79.60038927,,,
6264,Plank Road,,,Buchanan,VA,24066,37.62618007,-79.60046195,,,
495,County Line Road,,,Buchanan,VA,24066,37.62817096,-79.62052894,,,
4539,South Buffalo Road,,,Buchanan,VA,24066,37.64694042,-79.65868905,,,
4539,Buffalo Road,,,Buchanan,VA,24066,37.64694216,-79.65868896,,,
4064,Glasgow Highway,,,Buena Vista,VA,24416,37.61800045,-79.43556521,,,
4060,Glasgow Highway,,,Buena Vista,VA,24416,37.61832901,-79.43588097,,,
4138,Glasgow Highway,,,Buena Vista,VA,24416,37.61982448,-79.43576725,,,
4115,Glasgow Highway,,,Buena Vista,VA,24416,37.62133484,-79.43688726,,,
3722,Glasgow Highway,,,Buena Vista,VA,24416,37.62952357,-79.44113986,,,
3696,Glasgow Highway,,,Buena Vista,VA,24416,37.63021383,-79.44073443,,,
3251,Glasgow Highway,,,Buena Vista,VA,24416,37.64333406,-79.4278294,,,
3147,Glasgow Highway,,,Buena Vista,VA,24416,37.64356253,-79.4300256,,,
112,Balcony Downs Lane,,,Buena Vista,VA,24416,37.64637361,-79.42669591,,,
113,Balcony Downs Lane,,,Buena Vista,VA,24416,37.64672427,-79.42642026,,,
55,Balcony Downs Lane,,,Buena Vista,VA,24416,37.64756982,-79.42647221,,,
2879,Glasgow Highway,,,Buena Vista,VA,24416,37.65080549,-79.42715806,,,
2875,Glasgow Highway,,,Buena Vista,VA,24416,37.6510752,-79.4265114,,,
2851,Glasgow Highway,,,Buena Vista,VA,24416,37.65139245,-79.42611102,,,
2835,Glasgow Highway,,,Buena Vista,VA,24416,37.65172133,-79.42588648,,,
3255,River Road,,,Buena Vista,VA,24416,37.65190751,-79.42841394,,,
2821,Glasgow Highway,,,Buena Vista,VA,24416,37.65206112,-79.42568824,,,
22,Oneida Lane,,,Buena Vista,VA,24416,37.65235615,-79.4254981,,,
41,Oneida Lane,,,Buena Vista,VA,24416,37.65244112,-79.42482278,,,
2838,Glasgow Highway,,,Buena Vista,VA,24416,37.65286294,-79.42767989,,,
2785,Glasgow Highway,,,Buena Vista,VA,24416,37.65299913,-79.42516834,,,
2816,Glasgow Highway,,,Buena Vista,VA,24416,37.65303321,-79.42701328,,,
2802,Glasgow Highway,,,Buena Vista,VA,24416,37.65334826,-79.42702727,,,
2796,Glasgow Highway,,,Buena Vista,VA,24416,37.65349419,-79.42664958,,,
2786,Glasgow Highway,,,Buena Vista,VA,24416,37.65361178,-79.42618082,,,
44,Fern Glen Lane,,,Buena Vista,VA,24416,37.65365213,-79.42287605,,,
42,Shady Rest Lane,,,Buena Vista,VA,24416,37.65387001,-79.42385274,,,
2778,Glasgow Highway,,,Buena Vista,VA,24416,37.65387357,-79.42614218,,,
38,Shady Rest Lane,,,Buena Vista,VA,24416,37.65391884,-79.42399876,,,
34,Shady Rest Lane,,,Buena Vista,VA,24416,37.65397308,-79.42412535,,,
45,Fern Glen Lane,,,Buena Vista,VA,24416,37.65399572,-79.42208573,,,
30,Shady Rest Lane,,,Buena Vista,VA,24416,37.65400021,-79.42422341,,,
26,Shady Rest Lane,,,Buena Vista,VA,24416,37.65408731,-79.42440501,,,
22,Shady Rest Lane,,,Buena Vista,VA,24416,37.65411768,-79.42452929,,,
43,Shady Rest Lane,,,Buena Vista,VA,24416,37.65413306,-79.4236383,,,
18,Shady Rest Lane,,,Buena Vista,VA,24416,37.65415489,-79.42467941,,,
39,Shady Rest Lane,,,Buena Vista,VA,24416,37.65415811,-79.42377281,,,
2764,Glasgow Highway,,,Buena Vista,VA,24416,37.65421998,-79.42578091,,,
14,Shady Rest Lane,,,Buena Vista,VA,24416,37.6542466,-79.42475263,,,
35,Shady Rest Lane,,,Buena Vista,VA,24416,37.65430387,-79.42395194,,,
8,Shady Rest Lane,,,Buena Vista,VA,24416,37.65430577,-79.42492046,,,
29,Shady Rest Lane,,,Buena Vista,VA,24416,37.6543622,-79.42413822,,,
25,Shady Rest Lane,,,Buena Vista,VA,24416,37.65443432,-79.42424242,,,
21,Shady Rest Lane,,,Buena Vista,VA,24416,37.65446629,-79.42437892,,,
17,Shady Rest Lane,,,Buena Vista,VA,24416,37.65454624,-79.42455797,,,
11,Shady Rest Lane,,,Buena Vista,VA,24416,37.65461859,-79.4247479,,,
3141,River Road,,,Buena Vista,VA,24416,37.65488025,-79.43153527,,,
2726,Glasgow Highway,,,Buena Vista,VA,24416,37.65501907,-79.42539864,,,
2732,Glasgow Highway,,,Buena Vista,VA,24416,37.65519813,-79.42618255,,,
2720,Glasgow Highway,,,Buena Vista,VA,24416,37.65531971,-79.42506383,,,
2700,Glasgow Highway,,,Buena Vista,VA,24416,37.65574931,-79.42493848,,,
51,Apollo Loop,,,Buena Vista,VA,24416,37.65585983,-79.42543972,,,
41,Apollo Loop,,,Buena Vista,VA,24416,37.65595997,-79.42536578,,,
52,Apollo Loop,,,Buena Vista,VA,24416,37.65605009,-79.42579856,,,
31,Apollo Loop,,,Buena Vista,VA,24416,37.65606928,-79.425296,,,
2694,Glasgow Highway,,,Buena Vista,VA,24416,37.65611686,-79.42455589,,,
42,Apollo Loop,,,Buena Vista,VA,24416,37.65616218,-79.42567955,,,
48,Otter Lane,,,Buena Vista,VA,24416,37.65618678,-79.42241994,,,
2696,Glasgow Highway,,,Buena Vista,VA,24416,37.65619221,-79.4248554,,,
50,Windsor Lane,,,Buena Vista,VA,24416,37.65620597,-79.43267183,,,
32,Apollo Loop,,,Buena Vista,VA,24416,37.65626953,-79.42562304,,,
2682,Glasgow Highway,,,Buena Vista,VA,24416,37.65632465,-79.42453234,,,
35,Otter Lane,,,Buena Vista,VA,24416,37.65647068,-79.42164615,,,
70,Windsor Lane,,,Buena Vista,VA,24416,37.65647887,-79.43325337,,,
88,Windsor Lane,,,Buena Vista,VA,24416,37.65675342,-79.43377542,,,
2674,Glasgow Highway,,,Buena Vista,VA,24416,37.65676282,-79.42484366,,,
108,Windsor Lane,,,Buena Vista,VA,24416,37.65693632,-79.43443354,,,
2641,Glasgow Highway,,,Buena Vista,VA,24416,37.65707548,-79.42314248,,,
2631,Glasgow Highway,,,Buena Vista,VA,24416,37.65727085,-79.42279535,,,
124,Windsor Lane,,,Buena Vista,VA,24416,37.65732594,-79.43504068,,,
138,Windsor Lane,,,Buena Vista,VA,24416,37.65746418,-79.43578515,,,
2605,Glasgow Highway,,,Buena Vista,VA,24416,37.65754459,-79.42224255,,,
178,Windsor Lane,,,Buena Vista,VA,24416,37.65771353,-79.43716061,,,
2601,Glasgow Highway,,,Buena Vista,VA,24416,37.65796869,-79.42219658,,,
2853,River Road,,,Buena Vista,VA,24416,37.65838684,-79.44068126,,,
2586,Glasgow Highway,,,Buena Vista,VA,24416,37.65861877,-79.42433938,,,
2585,River Road,,,Buena Vista,VA,24416,37.66404517,-79.43849139,,,
445,Brady Hill Trail,,,Buena Vista,VA,24416,37.66420069,-79.4348686,,,
2135,River Road,,,Buena Vista,VA,24416,37.67220693,-79.43050038,,,
1971,River Road,,,Buena Vista,VA,24416,37.67452448,-79.42448618,,,
1976,River Road,,,Buena Vista,VA,24416,37.67457538,-79.42612188,,,
1877,River Road,,,Buena Vista,VA,24416,37.67599148,-79.42289424,,,
1555,Glasgow Highway,,,Buena Vista,VA,24416,37.68291833,-79.40286753,,,
1565,Glasgow Highway,,,Buena Vista,VA,24416,37.68309224,-79.40382199,,,
1584,Glasgow Highway,,,Buena Vista,VA,24416,37.68330677,-79.40485009,,,
1522,Glasgow Highway,,,Buena Vista,VA,24416,37.68434419,-79.40322662,,,
1508,Glasgow Highway,,,Buena Vista,VA,24416,37.68458368,-79.40282478,,,
4,Crabapple Lane,,,Buena Vista,VA,24416,37.68490822,-79.40122912,,,
10,Crabapple Lane,,,Buena Vista,VA,24416,37.68503939,-79.40073614,,,
18,Crabapple Lane,,,Buena Vista,VA,24416,37.68519233,-79.40040956,,,
1410,River Road,,,Buena Vista,VA,24416,37.68556349,-79.41406492,,,
240,Weavers Way,,,Buena Vista,VA,24416,37.68574946,-79.40608628,,,
125,Bear Hollow Trail,,,Buena Vista,VA,24416,37.68581908,-79.38983903,,,
25,Weavers Way,,,Buena Vista,VA,24416,37.68603489,-79.40136147,,,
45,Weavers Way,,,Buena Vista,VA,24416,37.68627889,-79.40208306,,,
40,Weavers Way,,,Buena Vista,VA,24416,37.68703677,-79.40384264,,,
1315,River Road,,,Buena Vista,VA,24416,37.68732691,-79.41161127,,,
40,Bear Hollow Trail,,,Buena Vista,VA,24416,37.68782765,-79.39113393,,,
2150,Robinson Gap Road,,,Buena Vista,VA,24416,37.68814371,-79.33428094,,,
1320,Glasgow Highway,,,Buena Vista,VA,24416,37.68817681,-79.39760981,,,
131,Bennetts Run Road,,,Buena Vista,VA,24416,37.6884722,-79.39210814,,,
20,Weavers Way,,,Buena Vista,VA,24416,37.68860612,-79.40191591,,,
177,Bennetts Run Road,,,Buena Vista,VA,24416,37.6890346,-79.39387703,,,
95,Bennetts Run Road,,,Buena Vista,VA,24416,37.68926722,-79.39101024,,,
78,Bennetts Run Road,,,Buena Vista,VA,24416,37.68977234,-79.39164128,,,
100,Bennetts Run Road,,,Buena Vista,VA,24416,37.68994685,-79.39232334,,,
1305,River Road,,,Buena Vista,VA,24416,37.69060967,-79.40644254,,,
42,Bennetts Run Road,,,Buena Vista,VA,24416,37.69066366,-79.39247256,,,
61,Bennetts Run Road,,,Buena Vista,VA,24416,37.69072295,-79.39084931,,,
13,Pecan Lane,,,Buena Vista,VA,24416,37.69094448,-79.39143687,,,
68,Pecan Lane,,,Buena Vista,VA,24416,37.69120647,-79.38934569,,,
31,Lapsley Lane,,,Buena Vista,VA,24416,37.69180196,-79.39213489,,,
1195,River Road,,,Buena Vista,VA,24416,37.6919959,-79.41026715,,,
1102,Glasgow Highway,,,Buena Vista,VA,24416,37.69204739,-79.39350325,,,
51,Lapsley Lane,,,Buena Vista,VA,24416,37.69231999,-79.3918,,,
170,Red Dog Lane,,,Buena Vista,VA,24416,37.69241958,-79.38893582,,,
531,Chessie Lane,,,Buena Vista,VA,24416,37.69264562,-79.40219188,,,
485,Chessie Lane,,,Buena Vista,VA,24416,37.69284613,-79.40010601,,,
360,Chessie Lane,,,Buena Vista,VA,24416,37.692883,-79.40364907,,,
1185,River Road,,,Buena Vista,VA,24416,37.693334,-79.41121371,,,
1063,Glasgow Highway,,,Buena Vista,VA,24416,37.69383882,-79.39165625,,,
15,Red Dog Lane,,,Buena Vista,VA,24416,37.69418338,-79.38852505,,,
350,Chessie Lane,,,Buena Vista,VA,24416,37.69454429,-79.40458257,,,
1035,Glasgow Highway,,,Buena Vista,VA,24416,37.69462234,-79.39141425,,,
338,Chessie Lane,,,Buena Vista,VA,24416,37.69487021,-79.40553187,,,
324,Chessie Lane,,,Buena Vista,VA,24416,37.69509764,-79.40609185,,,
1020,Glasgow Highway,,,Buena Vista,VA,24416,37.69516171,-79.39216514,,,
298,Chessie Lane,,,Buena Vista,VA,24416,37.69519549,-79.4066448,,,
288,Chessie Lane,,,Buena Vista,VA,24416,37.6952021,-79.40735438,,,
333,Chessie Lane,,,Buena Vista,VA,24416,37.69538334,-79.4054012,,,
